id_text,text_name,l_no,text
dcclt/Q000052,Nippur Nigga,1,sux:niŋgur[property]N
dcclt/Q000052,Nippur Nigga,2,sux:niŋgur[property]N sux:lugal[king]N
dcclt/Q000052,Nippur Nigga,3,sux:niŋgur[property]N sux:lugal[king]N
dcclt/Q000052,Nippur Nigga,4,sux:niŋgur[property]N sux:lugal[king]N
dcclt/Q000052,Nippur Nigga,5,sux:niŋerim[evil]N
dcclt/Q000052,Nippur Nigga,6,sux:niŋazig[violence]AJ
dcclt/Q000052,Nippur Nigga,7,sux:niŋataka[ointment]N
dcclt/Q000052,Nippur Nigga,8,sux:niŋšutakaʾa[gift]N
dcclt/Q000052,Nippur Nigga,9,sux:niŋgig[bad-thing]N
dcclt/Q000052,Nippur Nigga,10,sux:niŋaldi[request]N
dcclt/Q000052,Nippur Nigga,11,sux:niŋšire[restrained]N
dcclt/Q000052,Nippur Nigga,12,sux:niŋkešed[band]N
dcclt/Q000052,Nippur Nigga,13,sux:niŋkešed[band]N
dcclt/Q000052,Nippur Nigga,14,sux:niŋkešed[band]N
dcclt/Q000052,Nippur Nigga,15,sux:niŋkešed[band]N
dcclt/Q000052,Nippur Nigga,16,sux:niŋkešed[band]N
dcclt/Q000052,Nippur Nigga,17,sux:niŋdara[rag]N
dcclt/Q000052,Nippur Nigga,18,sux:niŋna[incense]N
dcclt/Q000052,Nippur Nigga,19,sux:niŋus[shin]N
dcclt/Q000052,Nippur Nigga,20,sux:niŋgur[bandage]N
dcclt/Q000052,Nippur Nigga,21,sux:niŋ[thing]N sux:gaba[chest]N sux:sig[put]V/t
dcclt/Q000052,Nippur Nigga,22,sux:niŋba[gift]N
dcclt/Q000052,Nippur Nigga,23,sux:niŋ[thing]N sux:la[hang]V/t
dcclt/Q000052,Nippur Nigga,24,sux:niŋla[clothing]N
dcclt/Q000052,Nippur Nigga,25,sux:niŋla[clothing]N
dcclt/Q000052,Nippur Nigga,26,sux:niŋ[thing]N sux:gibil[new]V/i
dcclt/Q000052,Nippur Nigga,27,sux:niŋ[thing]N sux:sumun[old]V/i
dcclt/Q000052,Nippur Nigga,28,sux:niŋ[thing]N sux:gul[destroy]V/t
dcclt/Q000052,Nippur Nigga,29,sux:niŋ[thing]N sux:ud[sun]N sux:ri[distant]V/i
dcclt/Q000052,Nippur Nigga,30,sux:niŋ[thing]N sux:udbita[former]AJ
dcclt/Q000052,Nippur Nigga,31,sux:niŋ[thing]N sux:ud[sun]N sux:ul[distant]V/i
dcclt/Q000052,Nippur Nigga,32,sux:niŋizila[burnings]N
dcclt/Q000052,Nippur Nigga,33,sux:niŋgig[bad-thing]N
dcclt/Q000052,Nippur Nigga,34,sux:niŋ₂.ŠID[account]N
dcclt/Q000052,Nippur Nigga,35,sux:niŋ₂.ŠID[account]N
dcclt/Q000052,Nippur Nigga,36,sux:niŋ₂.ŠID[account]N sux:kalaʾa[remainder]N
dcclt/Q000052,Nippur Nigga,37,sux:niŋ[thing]N sux:kum[hot]V/i
dcclt/Q000052,Nippur Nigga,38,sux:niŋ[thing]N sux:ten[cool]V/i
