id_text,text_name,version,l_no,text
dcclt/Q000043,OB Nippur Ura 06,N 4808 [OB Nippur Ura],,o i 1',sux:šim[aromatics]N sux:gi[reed]N sux:dug[good]V/i
dcclt/Q000043,OB Nippur Ura 06,N 4808 [OB Nippur Ura],,o i 2',sux:šim[aromatics]N sux:arganum[conifer]N
dcclt/Q000043,OB Nippur Ura 06,N 4808 [OB Nippur Ura],,o i 3',sux:šim[aromatics]N sux:marguzum[bush]N
dcclt/Q000043,OB Nippur Ura 06,N 4808 [OB Nippur Ura],,o i 4',sux:šim[aromatics]N sux:damšelum[plant]N
dcclt/Q000043,OB Nippur Ura 06,UM 55-21-271 (MSL 11, 112 E1) [OB Nippur Ura],,o 1,sux:kaš[beer]N sux:šag[heart]N sux:gur[lift]V/t
dcclt/Q000043,OB Nippur Ura 06,UM 55-21-271 (MSL 11, 112 E1) [OB Nippur Ura],,o 2,sux:kaš[beer]N sux:edadi[flour]N
dcclt/Q000043,OB Nippur Ura 06,UM 55-21-271 (MSL 11, 112 E1) [OB Nippur Ura],,o 3,sux:kaš[beer]N sux:šag[heart]N sux:gur[lift]V/t
dcclt/Q000043,OB Nippur Ura 06,UM 55-21-271 (MSL 11, 112 E1) [OB Nippur Ura],,o 4,sux:kaš[beer]N sux:edadi[flour]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o i 1,sux:a[water]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o i 2,sux:ninda[bread]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o i 3,sux:kaš[beer]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o i 4,sux:tu[soup]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o i 5,sux:tu[soup]N sux:sag[rare]V/i
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o i 6,sux:tu[soup]N sux:gugala[chickpea?]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o i 7,sux:tu[soup]N sux:gutur[lentil?]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o i 8,sux:tu[soup]N sux:guniŋara[vetch]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o i 9,sux:tu[soup]N sux:zid[flour]N sux:gu[pulse]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o i 10,sux:tu[soup]N sux:arzana[groats]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o i 11,sux:tu[soup]N sux:lub[turnip]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o i 12,sux:tu[soup]N sux:tunla[vessel]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o i 13,sux:tu[soup]N sux:ganše[plant]N
