id_text,text_name,version,l_no,text
etcsri/Q000917,Gudea 051,,1,sux:Ninŋirsuk[1]DN
etcsri/Q000917,Gudea 051,,2,sux:ursaŋ[hero]N sux:kalag[strong]V/i
etcsri/Q000917,Gudea 051,,3,sux:Enlil[1]DN
etcsri/Q000917,Gudea 051,,4,sux:Gudea[1]RN
etcsri/Q000917,Gudea 051,,5,sux:ensik[ruler]N
etcsri/Q000917,Gudea 051,,6,sux:Lagaš[1]SN
etcsri/Q000917,Gudea 051,,7,sux:lu[person]N sux:Eninnu[1]TN
etcsri/Q000917,Gudea 051,,8,sux:Ninŋirsuk[1]DN
etcsri/Q000917,Gudea 051,,9,sux:du[build]V/t
etcsri/Q000917,Gudea 051,,10,sux:abula[gate]N sux:Kasura[1]SN
etcsri/Q000917,Gudea 051,,11,sux:igi[eye]N sux:u[admiration]N sux:dug[speak]V/t
etcsri/Q000917,Gudea 051,,12,sux:heŋal[plenty]N sux:il[raise]V/t
etcsri/Q000917,Gudea 051,,13,sux:du[build]V/t
