id_text,text_name,l_no,text
rinap/rinap3/Q004071,Sennacherib 1015,o 3',Aššur[1]DN bēlu[lord]N takālu[trust]V ana[to]PRP Yaudu[Judah]GN lū[may]MOD alāku[go]V ina[in]PRP mētequ[route]N gerru[way]N maddattu[payment]N ša[of]DET šarru[king]N mahāru[face]V
rinap/rinap3/Q004071,Sennacherib 1015,o 4',ina[in]PRP danānu[power]N ša[of]DET Aššur[1]DN bēlu[lord]N nagû[region]N ša[of]DET Yaudayu[of-Judah]EN kīma[like]PRP
rinap/rinap3/Q004071,Sennacherib 1015,o 5',Azaqa[1]SN bītu[house]N tukultu[trust]N ša[that]REL ina[in]PRP birīt[between]PRP u[and]CNJ Yaudu[Judah]GN
rinap/rinap3/Q004071,Sennacherib 1015,o 6',ṣēru[back]N ubānu[finger]N šadû[mountain]N šaknu[placed]AJ kīma[like]PRP ziqpu[shhot]N patru[knife]N lā[not]MOD nību[naming]N ana[to]PRP šamû[heaven]N šaqû[high]AJ
rinap/rinap3/Q004071,Sennacherib 1015,o 7',dunnunu[very-strong]AJ šitnunu[raised-up-to]AJ šadû[mountain]N zaqru[high]AJ ana[to]PRP niṭlu[look]N īnu[eye]N kī[like]PRP ša[that]REL ištu[from]PRP šamû[heaven]N
rinap/rinap3/Q004071,Sennacherib 1015,o 8',ina[in]PRP kabāsu[tread]V arammu[causeway]N qerēbu[be(come)-close]V yašibu[battering-ram]N dannu[strong]AJ u[and]CNJ ina[in]PRP mahāṣu[beat]V zūku[infantry]N šēpu[foot]N qurādu[hero]N
rinap/rinap3/Q004071,Sennacherib 1015,o 9',sisû[horse]N amāru[see]V rigmu[voice]N ummānu[military-force]N Aššur[1]DN gapšu[arisen]AJ šemû[hear]V palāhu[be(come)-afraid]V libbu[interior]N
rinap/rinap3/Q004071,Sennacherib 1015,o 10',lawû[surround]V kašādu[reach]V šalālu[carry-off]V šallatu[plundered-thing(s)]N napālu[dig-out]V naqāru[demolish]V ina[in]PRP gīru[fire(-god)]N qamû[burn-(up)]V
rinap/rinap3/Q004071,Sennacherib 1015,o 11',ālu[city]N šarrūtu[kingship]N ša[of]DET Pilištayu[of-Philistia]EN ša[that]REL ekēmu[take-away]V danānu[be(come)-strong]V
rinap/rinap3/Q004071,Sennacherib 1015,o 12',kīma[like]PRP gapnu[bush]N
rinap/rinap3/Q004071,Sennacherib 1015,o 13',dimtu[tower]N rabû[great]AJ šutashuru[surrounded]AJ šumruṣu[very-painful]AJ
rinap/rinap3/Q004071,Sennacherib 1015,o 14',ēkallu[palace]N kīma[like]PRP šadû[mountain]N pānu[front]N edlu[shut]AJ šaqû[high]AJ
rinap/rinap3/Q004071,Sennacherib 1015,o 15',eklu[dark]AJ lā[not]MOD naphu[blown-on]AJ šamšu[sun]N mû[water]N ina[in]PRP eṭûtu[darkness]N šitkunu[situated]AJ mūṣû[exit]N
rinap/rinap3/Q004071,Sennacherib 1015,o 16',pû[mouth]N ina[in]PRP qulmû[(kind-of)-axe]N naksu[cut-(off)]AJ harīṣu[(city)-ditch]N itû[boundary]N šaplu[low]AJ
rinap/rinap3/Q004071,Sennacherib 1015,o 17',lēʾû[powerful]AJ tāhāzu[battle]N erēbu[enter]V qerbu[centre]N kakku[stick]N rakāsu[tie]V ana[to]PRP
rinap/rinap3/Q004071,Sennacherib 1015,o 18',ummānu[military-force]N mātu[land]N Amurru[1]GN kalû[totality]N eperu[earth]N zabālu[carry]V
rinap/rinap3/Q004071,Sennacherib 1015,o 19',ṣēru[back]N ina[in]PRP dūru[(city)-wall]N rabû[great]AJ kīma[like]PRP karpatu[(clay)-pot]N pahāru[potter]N
rinap/rinap3/Q004071,Sennacherib 1015,o 20',parāru[break-up]V alpu[ox]N u[and]CNJ ṣēnu[flock]N ištu[from]PRP qerbu[centre]N waṣû[go-out]V šallatiš[as-booty]AV manû[count]V
