Text,Line
{d}kinda₂-zid lugal-a-ni\dat nam-til₃ nam-mah-ni ensi₂ lagaš{ki}-ka-še₃ nin-ka-gen₆-na dumu ka-kug-ke₄ u₃ nam-til₃-la-ni-še₃ a\abs mu-na-ru šitaₓ(|KAK.GIŠ|)-ba\gen lugal-ŋu₁₀\abs ba-zig₃-ge\v14sg3s he₂-ma-da-zi-zi\v11sg3p mu-bi\cop,{d}kinda₂-zid
{d}kinda₂-zid lugal-a-ni\dat nam-til₃ nam-mah-ni ensi₂ lagaš{ki}-ka-še₃ nin-ka-gen₆-na dumu ka-kug-ke₄ u₃ nam-til₃-la-ni-še₃ a\abs mu-na-ru šitaₓ(|KAK.GIŠ|)-ba\gen lugal-ŋu₁₀\abs ba-zig₃-ge\v14sg3s he₂-ma-da-zi-zi\v11sg3p mu-bi\cop,lugal-a-ni\dat
{d}kinda₂-zid lugal-a-ni\dat nam-til₃ nam-mah-ni ensi₂ lagaš{ki}-ka-še₃ nin-ka-gen₆-na dumu ka-kug-ke₄ u₃ nam-til₃-la-ni-še₃ a\abs mu-na-ru šitaₓ(|KAK.GIŠ|)-ba\gen lugal-ŋu₁₀\abs ba-zig₃-ge\v14sg3s he₂-ma-da-zi-zi\v11sg3p mu-bi\cop,nam-til₃
{d}kinda₂-zid lugal-a-ni\dat nam-til₃ nam-mah-ni ensi₂ lagaš{ki}-ka-še₃ nin-ka-gen₆-na dumu ka-kug-ke₄ u₃ nam-til₃-la-ni-še₃ a\abs mu-na-ru šitaₓ(|KAK.GIŠ|)-ba\gen lugal-ŋu₁₀\abs ba-zig₃-ge\v14sg3s he₂-ma-da-zi-zi\v11sg3p mu-bi\cop,nam-mah-ni
{d}kinda₂-zid lugal-a-ni\dat nam-til₃ nam-mah-ni ensi₂ lagaš{ki}-ka-še₃ nin-ka-gen₆-na dumu ka-kug-ke₄ u₃ nam-til₃-la-ni-še₃ a\abs mu-na-ru šitaₓ(|KAK.GIŠ|)-ba\gen lugal-ŋu₁₀\abs ba-zig₃-ge\v14sg3s he₂-ma-da-zi-zi\v11sg3p mu-bi\cop,ensi₂
{d}kinda₂-zid lugal-a-ni\dat nam-til₃ nam-mah-ni ensi₂ lagaš{ki}-ka-še₃ nin-ka-gen₆-na dumu ka-kug-ke₄ u₃ nam-til₃-la-ni-še₃ a\abs mu-na-ru šitaₓ(|KAK.GIŠ|)-ba\gen lugal-ŋu₁₀\abs ba-zig₃-ge\v14sg3s he₂-ma-da-zi-zi\v11sg3p mu-bi\cop,lagaš{ki}-ka-še₃
{d}kinda₂-zid lugal-a-ni\dat nam-til₃ nam-mah-ni ensi₂ lagaš{ki}-ka-še₃ nin-ka-gen₆-na dumu ka-kug-ke₄ u₃ nam-til₃-la-ni-še₃ a\abs mu-na-ru šitaₓ(|KAK.GIŠ|)-ba\gen lugal-ŋu₁₀\abs ba-zig₃-ge\v14sg3s he₂-ma-da-zi-zi\v11sg3p mu-bi\cop,nin-ka-gen₆-na
{d}kinda₂-zid lugal-a-ni\dat nam-til₃ nam-mah-ni ensi₂ lagaš{ki}-ka-še₃ nin-ka-gen₆-na dumu ka-kug-ke₄ u₃ nam-til₃-la-ni-še₃ a\abs mu-na-ru šitaₓ(|KAK.GIŠ|)-ba\gen lugal-ŋu₁₀\abs ba-zig₃-ge\v14sg3s he₂-ma-da-zi-zi\v11sg3p mu-bi\cop,dumu ka-kug-ke₄
{d}kinda₂-zid lugal-a-ni\dat nam-til₃ nam-mah-ni ensi₂ lagaš{ki}-ka-še₃ nin-ka-gen₆-na dumu ka-kug-ke₄ u₃ nam-til₃-la-ni-še₃ a\abs mu-na-ru šitaₓ(|KAK.GIŠ|)-ba\gen lugal-ŋu₁₀\abs ba-zig₃-ge\v14sg3s he₂-ma-da-zi-zi\v11sg3p mu-bi\cop,u₃ nam-til₃-la-ni-še₃
{d}kinda₂-zid lugal-a-ni\dat nam-til₃ nam-mah-ni ensi₂ lagaš{ki}-ka-še₃ nin-ka-gen₆-na dumu ka-kug-ke₄ u₃ nam-til₃-la-ni-še₃ a\abs mu-na-ru šitaₓ(|KAK.GIŠ|)-ba\gen lugal-ŋu₁₀\abs ba-zig₃-ge\v14sg3s he₂-ma-da-zi-zi\v11sg3p mu-bi\cop,a\abs mu-na-ru
{d}kinda₂-zid lugal-a-ni\dat nam-til₃ nam-mah-ni ensi₂ lagaš{ki}-ka-še₃ nin-ka-gen₆-na dumu ka-kug-ke₄ u₃ nam-til₃-la-ni-še₃ a\abs mu-na-ru šitaₓ(|KAK.GIŠ|)-ba\gen lugal-ŋu₁₀\abs ba-zig₃-ge\v14sg3s he₂-ma-da-zi-zi\v11sg3p mu-bi\cop,šitaₓ(|KAK.GIŠ|)-ba\gen
{d}kinda₂-zid lugal-a-ni\dat nam-til₃ nam-mah-ni ensi₂ lagaš{ki}-ka-še₃ nin-ka-gen₆-na dumu ka-kug-ke₄ u₃ nam-til₃-la-ni-še₃ a\abs mu-na-ru šitaₓ(|KAK.GIŠ|)-ba\gen lugal-ŋu₁₀\abs ba-zig₃-ge\v14sg3s he₂-ma-da-zi-zi\v11sg3p mu-bi\cop,lugal-ŋu₁₀\abs ba-zig₃-ge\v14sg3s
{d}kinda₂-zid lugal-a-ni\dat nam-til₃ nam-mah-ni ensi₂ lagaš{ki}-ka-še₃ nin-ka-gen₆-na dumu ka-kug-ke₄ u₃ nam-til₃-la-ni-še₃ a\abs mu-na-ru šitaₓ(|KAK.GIŠ|)-ba\gen lugal-ŋu₁₀\abs ba-zig₃-ge\v14sg3s he₂-ma-da-zi-zi\v11sg3p mu-bi\cop,he₂-ma-da-zi-zi\v11sg3p
{d}kinda₂-zid lugal-a-ni\dat nam-til₃ nam-mah-ni ensi₂ lagaš{ki}-ka-še₃ nin-ka-gen₆-na dumu ka-kug-ke₄ u₃ nam-til₃-la-ni-še₃ a\abs mu-na-ru šitaₓ(|KAK.GIŠ|)-ba\gen lugal-ŋu₁₀\abs ba-zig₃-ge\v14sg3s he₂-ma-da-zi-zi\v11sg3p mu-bi\cop,mu-bi\cop
