Form,Gw,Pos
{d}utu,Utu,DN
u₃-tud-da,bear,V/t
{d}nanna\gen,Nanna,DN
ibilaₓ(|DUMU.NE|),heir,N
e₂-kiš{ki}-nu-ŋal₂\gen,Ekišnuŋal,TN
{d}nin-gal-e tud-da,Ningal bear,DN V/t
lugal-a-ni-ir,king,N
nam-til₃,life,N
gu-un-gu-nu-um,Gungunum,RN
nita kalag-ga,male strong,N V/i
lugal urim₅{ki}-ma-ka-še₃,king Urim,N SN
en-an-na-tum₂-ma,Enanatuma,PN
zirruₓ(|EN.SAL.NUNUZ.ZI.AN.ŠEŠ.KI|),priestess,N
en {d}nanna\gen,priest Nanna,N DN
šag₄ urim₅{ki}-ma\gen\l1,heart Urim,N SN
dumu {d}iš-me-{d}da-gan,child Išmedagan,N RN
lugal ki-en-gi ki-uri\gen\erg,king Kiengir Akkad,N GN GN
e₂-hi-li-a-ni\abs in-du₃,Ehili build,TN V/t
šutumₓ(|E₂.GI.NA.AB.TUM|) kug-ga-ni\abs,storehouse pure,N V/i
mu-na-du₃,build,V/t
nam-til₃-la-ni-še₃,life,N
a\abs mu-na-ru,water cvve,N V/t
