id_text,text_name,version,l_no,text
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,1,sux:ia[oh!]J sux:lum[fruit]V/i sux:uluh[sapling]N sux:sud[distant]V/i
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,2,sux:dumuŋir[citizen]N sux:kirizal[joy]N sux:diŋir[deity]N
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,3,sux:gud[ox]N sux:lipištuku[furious]AJ sux:me[battle]N sux:gub[stand]V/i
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,4,sux:en[lord]N sux:Gilgameš[1]DN sux:Unug[1]SN sux:mi[cvne]N sux:dug[speak]V/t
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,5,sux:Unug[1]SN sux:lu[person]N sux:uš[die]V/i sux:ur[liver]N sux:sag[beat]V/t
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,6,sux:lu[person]N sux:ugu[cvne]N sux:de[pour]V/t sux:šag[heart]N sux:hulu[bad]V/i sux:ŋar[place]V/t
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,7,sux:bad[wall]N sux:su[flesh]N sux:la[hang]V/t
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,8,sux:lu[person]N sux:aya[father]N sux:dirig[float]V/i sux:igi[eye]N sux:sig[put]V/t
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,9,sux:ur[liver]N sux:uš[die]V/i sux:šag[heart]N sux:sag[beat]V/t
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,10,sux:zag[side]N sux:namtil[life]N sux:saŋ[head]N sux:gi[turn]V/i
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,11,sux:irigal[underworld]N sux:kur[mountain]N sux:namgukak[submission]N sux:lu[person]N sux:taka[abandon]V/t
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,12,sux:sud[distant]V/i sux:kur[mountain]N sux:gilim[cross]V/t
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,13,sux:daŋal[wide]V/i sux:kur[mountain]N sux:šuš[cover]V/t
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,14,sux:zag[side]N sux:ŋuruš[male]N sux:til[complete]V/i sux:saŋ[head]N sux:til[complete]V/i sux:ed[ascend]V/i
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,15,sux:zi[life]N sux:ama[mother]N sux:ugu[bear]V/t sux:Ninsumunak[1]DN sux:aya[father]N sux:kug[pure]V/i sux:Lugalbanda[1]DN
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,16,sux:diŋir[deity]N sux:Enki[1]DN sux:en[lord]N sux:Nudimmud[1]DN
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,17,sux:me[Being]N
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,18,
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,19,sux:šub[fall]V/t
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,20,sux:du[build]V/t sux:til[complete]V/i
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,21,sux:šub[fall]V/t sux:kur[enter]V/i
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,22,sux:arad[slave]N sux:Enkidu[1]PN sux:gu[voice]N sux:de[pour]V/t
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,23,sux:tukumbi[if]CNJ sux:kur[mountain]N sux:kur[enter]V/i
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,24,sux:Utu[1]DN sux:zu[know]V/t
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,25,sux:Kurerinkud[1]GN sux:kur[enter]V/i
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,26,sux:Utu[1]DN sux:zu[know]V/t
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,27,sux:kur[mountain]N sux:dimma[thought]N sux:Utu[1]DN
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,28,sux:Kurerinkud[1]GN sux:dimma[thought]N sux:šul[youth]V/i sux:Utu[1]DN
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,29,sux:Utu[1]DN sux:an[sky]N sux:suh[crown]N sux:zagin[lapis]N sux:kešed[bind]V/t
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,30,sux:saŋ[head]N sux:il[raise]V/t sux:ŋen[go]V/i
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,31,sux:Gilgameš[1]DN sux:en[lord]N sux:Kulaba[1]SN sux:šu[hand]N sux:ŋidru[scepter]N sux:kug[pure]V/i sux:kiri[nose]N sux:tab[double]V/t
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,32,sux:Utu[1]DN sux:kur[mountain]N sux:kur[enter]V/i sux:me[be]V/i sux:atah[helper]N
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,33,sux:Kurerinkud[1]GN sux:kur[enter]V/i sux:me[be]V/i sux:atah[helper]N
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,38,sux:1[1]NU
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,39,sux:2-kam-ma[2nd]NU
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,40,sux:3-kam-ma[3rd]NU
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,41,sux:4-kam-ma[4th]NU
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,42,sux:5-kam-ma[5th]NU sux:tab[double]V/t
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,43,sux:6-kam-ma[6th]NU sux:aŋi[wave]N sux:du[push]V/t sux:kur[mountain]N sux:gaba[chest]N sux:rah[beat]V/t
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,44,sux:7-kam-ma[7th]NU sux:nim[fly]N sux:ŋir[flash]V/i sux:a[arm]N sux:lu[person]N sux:gur[turn]V/i
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,45,sux:anene[they]IP sux:an[sky]N sux:mul[star]N sux:ki[place]N sux:harran[route]N sux:zu[know]V/t
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,46,sux:an[sky]N sux:mul[star]N sux:il[raise]V/t
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,47,sux:ki[place]N sux:kaskal[way]N sux:Aratta[1]SN sux:zu[know]V/t
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,48,sux:damgar[merchant]N sux:ŋiribal[flooding]N sux:zu[know]V/t
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,49,sux:tum[dove]N sux:ablal[nest]N sux:kur[mountain]N sux:zu[know]V/t
