id_text,text_name,version,l_no,text
c.2.6.9.2,A hymn to Haia for Rīm-Sîn (Rīm-Sîn B),,1,sux:en[lord]N sux:ŋeštug[ear]N sux:mah[great]V/i sux:šu[hand]N sux:du[push]V/t sux:sa[advice]N sux:gal[big]V/i sux:pad[find]V/t
c.2.6.9.2,A hymn to Haia for Rīm-Sîn (Rīm-Sîn B),,2,sux:Haia[1]DN sux:dub[tablet]N sux:gal[big]V/i sux:haza[hold]V/t sux:ŋeštug[ear]N sux:peš[thick]V/i
c.2.6.9.2,A hymn to Haia for Rīm-Sîn (Rīm-Sîn B),,3,sux:šitadu[accountant]N sux:Halankug[1]TN sux:igi[eye]N sux:zag[side]N sux:til[complete]V/i sux:galam[skilful]V/i sux:E.ŊEŠTUG.NISABA[1]TN
c.2.6.9.2,A hymn to Haia for Rīm-Sîn (Rīm-Sîn B),,4,sux:bisaŋdubak[archivist]N sux:egal[palace]N sux:an[sky]N sux:ki[place]N sux:kiŋ[work]N sux:kilib[total]N sux:šid[count]V/t
c.2.6.9.2,A hymn to Haia for Rīm-Sîn (Rīm-Sîn B),,5,sux:gi[reed]N sux:kug[pure]V/i sux:šu[hand]N sux:ŋal[be]V/i sux:im[clay]N sux:namtar[fate]N sux:gal[big]V/i sux:mul[star]N
c.2.6.9.2,A hymn to Haia for Rīm-Sîn (Rīm-Sîn B),,6,sux:galanzu[wise]AJ sux:inim[word]N sux:ŋeštug[ear]N sux:deg[collect]V/t sux:ud[sun]N sux:An[1]DN sux:kug[pure]V/i
c.2.6.9.2,A hymn to Haia for Rīm-Sîn (Rīm-Sîn B),,7,sux:kišibŋal[seal-bearer]N sux:aya[father]N sux:Enlil[1]DN sux:lu[person]N sux:tam[clean]V/i sux:e[leave]V/i sux:erim[storeroom]N sux:Ekur[1]TN
c.2.6.9.2,A hymn to Haia for Rīm-Sîn (Rīm-Sîn B),,8,sux:hedu[ornament]N sux:eš[shrine]N sux:Abzu[1]TN sux:siki[hair]N sux:bar[outside]V/t sux:la[hang]V/t sux:en[lord]N sux:Nudimmud[1]DN
c.2.6.9.2,A hymn to Haia for Rīm-Sîn (Rīm-Sîn B),,9,sux:Haia[1]DN sux:šaggadala[priest]N sux:Eunir[1]TN sux:uzga[treasure]N sux:kug[pure]V/i sux:lu[abundant]V/i
c.2.6.9.2,A hymn to Haia for Rīm-Sîn (Rīm-Sîn B),,10,sux:umun[knowledge]N sux:ak[do]V/t sux:eš[shrine]N sux:Ekišnuŋal[1]TN sux:mu[name]N sux:mah[great]V/i sux:gal[big]V/i
