id_text,text_name,version,l_no,text
c.2.8.5.b,A hymn to Marduk for a king,,1,sux:Marduk[1]DN sux:til[live]V/i
c.2.8.5.b,A hymn to Marduk for a king,,2,sux:si[fill]V/t
c.2.8.5.b,A hymn to Marduk for a king,,3,sux:namtil[life]N sux:Marduk[1]DN sux:dug[speak]V/t
c.2.8.5.b,A hymn to Marduk for a king,,4,sux:namtil[life]N sux:sud[distant]V/i
c.2.8.5.b,A hymn to Marduk for a king,,5,sux:ud[sun]N sux:duri[forever]AJ sux:tuku[acquire]V/t
c.2.8.5.b,A hymn to Marduk for a king,,6,sux:til[live]V/i
c.2.8.5.b,A hymn to Marduk for a king,,7,sux:silim[healthy]V/i
c.2.8.5.b,A hymn to Marduk for a king,,8,sux:gilsa[treasure]N sux:me[be]V/i
c.2.8.5.b,A hymn to Marduk for a king,,9,sux:ŋeššub[lot]N sux:namtil[life]N sux:me[be]V/i
c.2.8.5.b,A hymn to Marduk for a king,,10,sux:namtil[life]N sux:šag[heart]N sux:dug[good]V/i sux:hala[share]N sux:me[be]V/i
c.2.8.5.b,A hymn to Marduk for a king,,11,sux:ud[sun]N sux:nud[lie]V/i sux:mamud[dream]N sux:sag[good]V/i
c.2.8.5.b,A hymn to Marduk for a king,,12,sux:zig[rise]V/t sux:iŋar[oracle]N sux:sag[good]V/i
c.2.8.5.b,A hymn to Marduk for a king,,13,sux:ki[place]N sux:ŋiri[foot]N sux:gub[stand]V/i sux:silim[healthy]V/i sux:gin[firm]V/i
c.2.8.5.b,A hymn to Marduk for a king,,14,sux:til[live]V/i sux:lugal[king]N sux:igi[eye]N sux:An[1]DN sux:aya[father]N sux:diŋir[deity]N sux:sag[good]V/i
c.2.8.5.b,A hymn to Marduk for a king,,15,sux:lugal[king]N sux:kalam[land]N sux:il[raise]V/t
c.2.8.5.b,A hymn to Marduk for a king,,16,sux:guza[chair]N sux:sud[distant]V/i
c.2.8.5.b,A hymn to Marduk for a king,,17,sux:gilsa[treasure]N sux:me[be]V/i
c.2.8.5.b,A hymn to Marduk for a king,,18,sux:ŋeššub[lot]N sux:namtil[life]N sux:me[be]V/i
c.2.8.5.b,A hymn to Marduk for a king,,19,sux:Aya[1]DN sux:namtil[life]N sux:a[arm]N
c.2.8.5.b,A hymn to Marduk for a king,,20,sux:ŋeš[tree]N sux:DUG.LAGAB[unmng]N sux:ara[times]N sux:gub[stand]V/i sux:ŋeš[tree]N sux:ŋeš[tree]N
c.2.8.5.b,A hymn to Marduk for a king,,21,sux:diŋir[deity]N sux:u[grass]N sux:gu[eat]V/t sux:a[water]N sux:silim[healthy]V/i sux:til[live]V/i sux:ud[sun]N sux:sud[distant]V/i sux:ŋeššub[lot]N sux:ŋar[place]V/t
c.2.8.5.b,A hymn to Marduk for a king,,22,sux:kag[mouth]N sux:gub[stand]V/i sux:namtil[life]N sux:rig[donate]V/t
c.2.8.5.b,A hymn to Marduk for a king,,23,sux:til[live]V/i sux:silim[healthy]V/i sux:gilsa[treasure]N sux:me[be]V/i
c.2.8.5.b,A hymn to Marduk for a king,,24,sux:ŋeššub[lot]N sux:namtil[life]N sux:me[be]V/i
c.2.8.5.b,A hymn to Marduk for a king,,25,sux:namtil[life]N sux:šag[heart]N sux:dug[good]V/i sux:hala[share]N sux:me[be]V/i
c.2.8.5.b,A hymn to Marduk for a king,,26,sux:ud[sun]N sux:nud[lie]V/i sux:mamud[dream]N sux:sag[good]V/i
c.2.8.5.b,A hymn to Marduk for a king,,27,sux:zig[rise]V/t sux:iŋar[oracle]N sux:sag[good]V/i
c.2.8.5.b,A hymn to Marduk for a king,,28,sux:ki[place]N sux:ŋiri[foot]N sux:gub[stand]V/i sux:silim[healthy]V/i sux:gin[firm]V/i
c.2.8.5.b,A hymn to Marduk for a king,,29,sux:ud[sun]N sux:duri[forever]AJ sux:til[live]V/i
