id_text,text_name,version,l_no,text
c.4.13.a,A hymn to Nanna,,1,sux:nam[lord]N sux:nun[prince]N sux:saŋkal[foremost]AJ sux:Ekur[1]TN sux:ni[fear]N
c.4.13.a,A hymn to Nanna,,2,sux:Suen[1]DN sux:zil[good]V/i sux:Enlil[1]DN sux:ziŋal[living-things]N
c.4.13.a,A hymn to Nanna,,3,sux:amar[young]N sux:gug[carnelian]N sux:hili[attractiveness]N sux:šu[hand]N sux:tag[touch]V/t sux:sudaŋ[metal]N
c.4.13.a,A hymn to Nanna,,4,sux:nun[prince]N sux:saŋki[forehead]N sux:lum[fruit]V/i sux:muš[face]N
c.4.13.a,A hymn to Nanna,,5,sux:Suen[1]DN sux:ursaŋ[hero]N sux:ne[strength]N sux:gal[big]V/i sux:tuku[acquire]V/t sux:namgur[thickness]N
c.4.13.a,A hymn to Nanna,,6,sux:utah[heaven]N sux:sikil[pure]V/i sux:ilim[radiance]N sux:ki[place]N sux:daŋal[wide]V/i sux:ni[fear]N sux:teŋ[approach]V/i
c.4.13.a,A hymn to Nanna,,7,sux:diŋir[deity]N sux:pa[branch]N sux:e[leave]V/i
c.4.13.a,A hymn to Nanna,,8,sux:gal[big]V/i
c.4.13.a,A hymn to Nanna,,9,sux:teŋ[approach]V/i sux:an[sky]N sux:ki[place]N sux:kur[different]V/i
c.4.13.a,A hymn to Nanna,,10,sux:til[live]V/i sux:saŋ[head]N
c.4.13.a,A hymn to Nanna,,11,
c.4.13.a,A hymn to Nanna,,12,
c.4.13.a,A hymn to Nanna,,13,
c.4.13.a,A hymn to Nanna,,14,sux:namte[fear]N
c.4.13.a,A hymn to Nanna,,15,sux:nam[fate]N
c.4.13.a,A hymn to Nanna,,16,sux:Enlil[1]DN sux:mu[name]N sux:gin[firm]V/i sux:pad[find]V/t
c.4.13.a,A hymn to Nanna,,17,sux:ni[fear]N sux:namen[priesthood]N sux:namgal[greatness]N sux:mu[name]N sux:dug[good]V/i sux:pad[find]V/t sux:namgal[greatness]N
c.4.13.a,A hymn to Nanna,,18,sux:ama[mother]N sux:aya[father]N sux:dug[speak]V/t sux:X[X]N
c.4.13.a,A hymn to Nanna,,19,sux:kur[mountain]N sux:gal[big]V/i sux:Enlil[1]DN sux:dug[speak]V/t
c.4.13.a,A hymn to Nanna,,20,sux:diŋir[deity]N sux:šeš[brother]N sux:nam.URU×MIN[unmng]N sux:X[X]N
c.4.13.a,A hymn to Nanna,,21,sux:ama[mother]N sux:Ninlil[1]DN sux:ŋidlam[spouse]N
c.4.13.a,A hymn to Nanna,,22,sux:kur[mountain]N sux:gal[big]V/i sux:Enlil[1]DN sux:inim[word]N
c.4.13.a,A hymn to Nanna,,23,sux-x-emesal:mudna[spouse]N sux:dumu[child]N sux:Suen[1]DN
c.4.13.a,A hymn to Nanna,,24,sux-x-emesal:dumu[child]N sux:zil[good]V/i sux:ilu[song]N sux-x-emesal:šab[heart]N sux:nam[fate]N
c.4.13.a,A hymn to Nanna,,25,sux:utud[bear]V/t sux:ama[mother]N sux:abba[father]N sux:zaʾe[you]IP
c.4.13.a,A hymn to Nanna,,26,sux:nun[prince]N sux:kag[mouth]N sux:silim[healthy]V/i sux:Ekur[1]TN sux:lum[fruit]V/i sux:Kiur[1]TN
c.4.13.a,A hymn to Nanna,,27,sux-x-emesal:munu[cowherd]N sux:ab[cow]N
c.4.13.a,A hymn to Nanna,,28,sux:Suen[1]DN
c.4.13.a,A hymn to Nanna,,29,sux-x-emesal:dumu[child]N sux:nun[prince]N
