id_text,text_name,version,l_no,text
c.4.13.c,An excerpt from a hymn to Nanna,,1,sux:diŋir[deity]N sux:diŋir[deity]N
c.4.13.c,An excerpt from a hymn to Nanna,,2,sux:un[high]V/i sux:e[leave]V/i sux:me[Being]N sux:an[sky]N sux:šu[hand]N sux:du[push]V/t
c.4.13.c,An excerpt from a hymn to Nanna,,3,sux:men[tiara]N sux:rib[surpassing]V/i sux:šerzid[radiance]N sux:nun[prince]N sux:an[sky]N
c.4.13.c,An excerpt from a hymn to Nanna,,4,sux:mi[cvne]N sux:zid[right]V/i sux:dug[speak]V/t sux:An[1]DN sux:Uraš[1]DN sux:utud[bear]V/t sux:Durankik[1]TN
c.4.13.c,An excerpt from a hymn to Nanna,,5,sux:ud[sun]N sux:šerzid[radiance]N sux:men[tiara]N sux:Urim[1]SN
c.4.13.c,An excerpt from a hymn to Nanna,,6,sux:niŋ[thing]N sux:dug[good]V/i sux:niŋ[thing]N sux:dug[good]V/i sux:al[hoe]N sux:dug[speak]V/t
c.4.13.c,An excerpt from a hymn to Nanna,,7,sux:en[lord]N sux:nam[fate]N sux-x-emesal:uru[city]N sux:tar[cut]V/t sux:Enlil[1]DN sux:kušu[tired]V/i
c.4.13.c,An excerpt from a hymn to Nanna,,8,sux:aya[father]N sux-x-emesal:uru[city]N sux:ki[place]N sux:gi[turn]V/i
c.4.13.c,An excerpt from a hymn to Nanna,,9,sux:dug[speak]V/t sux:zid[right]V/i sux:aya[father]N sux:Nanna[1]DN sux:šu[hand]N sux:e[leave]V/i
c.4.13.c,An excerpt from a hymn to Nanna,,10,sux:nam[lord]N sux:nun[prince]N sux:nam[lord]N sux:nun[prince]N sux:namnun[magnificence]N sux:gal[big]V/i sux:diŋir[deity]N
c.4.13.c,An excerpt from a hymn to Nanna,,11,sux:e[house]N sux:an[sky]N sux:ni[fear]N sux:su[flesh]N sux:zig[rise]V/t sux:ri[impose]V/t sux:melim[splendor]N sux:gur[lift]V/t
