id_text,text_name,version,l_no,text
c.4.32.e,A šir-namšub to Utu (Utu E),,1,sux:ninda[bread]N sux-x-emesal:zeb[good]V/i sux:gu[eat]V/t sux:kaš[beer]N sux-x-emesal:zeb[good]V/i sux:naŋ[drink]V/t
c.4.32.e,A šir-namšub to Utu (Utu E),,2,sux:e[house]N sux-x-emesal:mulu[person]N sux:zid[right]V/i sux:kurun[beer]N sux:bur[bowl]N
c.4.32.e,A šir-namšub to Utu (Utu E),,3,sux-x-emesal:umun[lord]N sux:erim[storeroom]N sux:kur[mountain]N sux:gal[big]V/i sux-x-emesal:Enlil[1]DN
c.4.32.e,A šir-namšub to Utu (Utu E),,4,sux:nin[lady]N sux:erim[storeroom]N sux:ama[mother]N sux:gal[big]V/i sux:Ninlil[1]DN
c.4.32.e,A šir-namšub to Utu (Utu E),,5,sux:šul[youth]V/i sux:Utu[1]DN sux-x-emesal:umun[lord]N sux:hursaŋ[mountain]N
c.4.32.e,A šir-namšub to Utu (Utu E),,6,sux:Šerida[1]DN sux:en[lord]N sux:šul[youth]V/i sux:me[battle]N
c.4.32.e,A šir-namšub to Utu (Utu E),,7,sux:Enki[1]DN sux:Ninki[1]DN sux:Enmul[1]DN sux:Ninmul[1]DN
c.4.32.e,A šir-namšub to Utu (Utu E),,8,sux:kirugu[notation]N sux:1-kam-ma[1st]NU
c.4.32.e,A šir-namšub to Utu (Utu E),,9,sux-x-emesal:mulu[person]N sux:zid[right]V/i sux:ninda[bread]N
c.4.32.e,A šir-namšub to Utu (Utu E),,10,sux:ud[sun]N sux:sud[distant]V/i sux:me[be]V/i sux:dari[eternal]V/i
c.4.32.e,A šir-namšub to Utu (Utu E),,11,sux:gub[stand]V/i sux-x-emesal:elum[bison]N sux-x-emesal:elum[bison]N sux-x-emesal:elum[bison]N sux:alala[expression]J
c.4.32.e,A šir-namšub to Utu (Utu E),,12,sux-x-emesal:mulu[person]N sux:zid[right]V/i sux:ninda[bread]N
c.4.32.e,A šir-namšub to Utu (Utu E),,13,sux-x-emesal:umun[lord]N sux:erim[storeroom]N sux:kur[mountain]N sux:gal[big]V/i sux-x-emesal:Enlil[1]DN
c.4.32.e,A šir-namšub to Utu (Utu E),,14,sux:nin[lady]N sux:erim[storeroom]N sux:ama[mother]N sux:gal[big]V/i sux:Ninlil[1]DN
c.4.32.e,A šir-namšub to Utu (Utu E),,15,sux:šul[youth]V/i sux:Utu[1]DN sux-x-emesal:umun[lord]N sux:hursaŋ[mountain]N
c.4.32.e,A šir-namšub to Utu (Utu E),,16,sux:Šerida[1]DN sux:en[lord]N sux:šul[youth]V/i sux:me[battle]N
c.4.32.e,A šir-namšub to Utu (Utu E),,17,sux:ud[sun]N sux:sud[distant]V/i sux:me[be]V/i sux:dari[eternal]V/i
c.4.32.e,A šir-namšub to Utu (Utu E),,18,sux:gub[stand]V/i sux-x-emesal:elum[bison]N sux-x-emesal:elum[bison]N sux-x-emesal:elum[bison]N sux:alala[expression]J
c.4.32.e,A šir-namšub to Utu (Utu E),,19,sux-x-emesal:mulu[person]N sux:zid[right]V/i sux:zi[life]N sux:sudŋal[long-lasting]N
c.4.32.e,A šir-namšub to Utu (Utu E),,20,sux:tuku[acquire]V/t sux:me[be]V/i sux:dari[eternal]V/i
c.4.32.e,A šir-namšub to Utu (Utu E),,21,sux-x-emesal:mulu[person]N sux:zid[right]V/i sux:zi[life]N sux:sudŋal[long-lasting]N
c.4.32.e,A šir-namšub to Utu (Utu E),,22,sux:tuku[acquire]V/t sux:me[be]V/i sux:dari[eternal]V/i
c.4.32.e,A šir-namšub to Utu (Utu E),,23,sux:gub[stand]V/i sux-x-emesal:elum[bison]N sux-x-emesal:elum[bison]N sux-x-emesal:elum[bison]N sux:alala[expression]J
c.4.32.e,A šir-namšub to Utu (Utu E),,24,sux:kirugu[notation]N sux:2-kam-ma[2nd]NU
c.4.32.e,A šir-namšub to Utu (Utu E),,25,sux:aʾuʾa[expression]J sux:e[house]N sux:uli[lamentation]N
c.4.32.e,A šir-namšub to Utu (Utu E),,26,sux:alliliamma[expression]J sux:e[house]N sux:uli[lamentation]N
c.4.32.e,A šir-namšub to Utu (Utu E),,27,sux:kaš[beer]N sux:de[pour]V/t sux:kurun[beer]N sux:de[pour]V/t
c.4.32.e,A šir-namšub to Utu (Utu E),,28,sux:sukkal[secretary]N sux-x-emesal:umun[lord]N sux:kurun[beer]N sux:de[pour]V/t
c.4.32.e,A šir-namšub to Utu (Utu E),,29,sux:Nuska[1]DN sux-x-emesal:Enlil[1]DN sux:kurun[beer]N sux:de[pour]V/t
c.4.32.e,A šir-namšub to Utu (Utu E),,30,sux:kaš[beer]N sux:ud[sun]N sux:de[pour]V/t sux:kaš[beer]N sux:nen[this]DP sux:naŋ[drink]V/t
c.4.32.e,A šir-namšub to Utu (Utu E),,31,sux:kurun[beer]N sux:ud[sun]N sux:de[pour]V/t sux:kurun[beer]N sux:nen[this]DP sux:ten[extinguish]V/t
c.4.32.e,A šir-namšub to Utu (Utu E),,32,sux-x-emesal:umun[lord]N sux:gu[eat]V/t sux:naŋ[drink]V/t sux:tuku[acquire]V/t
c.4.32.e,A šir-namšub to Utu (Utu E),,33,sux-x-emesal:Enlil[1]DN sux:gu[eat]V/t sux:naŋ[drink]V/t sux:tuku[acquire]V/t
c.4.32.e,A šir-namšub to Utu (Utu E),,34,sux:gu[eat]V/t sux:gu[cord]N sux-x-emesal:mal[be]V/i sux:še[barley]N sux-x-emesal:mal[be]V/i
c.4.32.e,A šir-namšub to Utu (Utu E),,35,sux:naŋ[drink]V/t sux:id[river]N sux:aʾeštub[flooding]N sux-x-emesal:mal[be]V/i
c.4.32.e,A šir-namšub to Utu (Utu E),,36,sux:gu[eat]V/t sux:ašag[field]N sux:še[barley]N sux:gunu[flax]N sux-x-emesal:mal[be]V/i
c.4.32.e,A šir-namšub to Utu (Utu E),,37,sux-x-emesal:mulu[person]N sux:zid[right]V/i sux:de[bring]V/t sux:tuku[acquire]V/t
c.4.32.e,A šir-namšub to Utu (Utu E),,38,sux:zid[flour]N sux-x-emesal:mulu[person]N sux:zid[right]V/i sux:de[bring]V/t sux:tuku[acquire]V/t
c.4.32.e,A šir-namšub to Utu (Utu E),,39,sux:šu[hand]N sux:kiri[nose]N sux-x-emesal:mal[be]V/i
c.4.32.e,A šir-namšub to Utu (Utu E),,40,sux:gu[eat]V/t sux:dug[speak]V/t sux:naŋ[drink]V/t sux:dug[speak]V/t
c.4.32.e,A šir-namšub to Utu (Utu E),,41,sux:kirugu[notation]N sux:3-kam-ma[3rd]NU
c.4.32.e,A šir-namšub to Utu (Utu E),,42,sux:kaš[beer]N sux:burgia[offering]N sux:šag[heart]N sux:gu[neck]N sux:gi[turn]V/i
c.4.32.e,A šir-namšub to Utu (Utu E),,43,sux:nesaŋ[offering]N sux:e[house]N sux:kaš[beer]N sux:burgia[offering]N
c.4.32.e,A šir-namšub to Utu (Utu E),,44,sux:bur[bowl]N sux:gal[big]V/i sux:an[sky]N sux:gub[stand]V/i
c.4.32.e,A šir-namšub to Utu (Utu E),,45,sux:ninda[bread]N sux:šu[hand]N sux:sikil[pure]V/i sux-x-emesal:zeŋ[give]V/t
c.4.32.e,A šir-namšub to Utu (Utu E),,46,sux:e[house]N sux-x-emesal:mulu[person]N sux:zid[right]V/i sux:šu[hand]N sux:e[leave]V/i
c.4.32.e,A šir-namšub to Utu (Utu E),,47,sux-x-emesal:mulu[person]N sux:zid[right]V/i sux:šu[hand]N sux:e[leave]V/i
c.4.32.e,A šir-namšub to Utu (Utu E),,48,sux-x-emesal:dimmer[deity]N sux-x-emesal:mulu[person]N sux:šu[hand]N sux:e[leave]V/i
c.4.32.e,A šir-namšub to Utu (Utu E),,49,sux-x-emesal:umun[lord]N sux-x-emesal:Enki[1]DN sux:šu[hand]N sux:e[leave]V/i
c.4.32.e,A šir-namšub to Utu (Utu E),,50,sux:šag[heart]N sux-x-emesal:mulu[person]N sux:zid[right]V/i sux:gu[neck]N sux:gi[turn]V/i
c.4.32.e,A šir-namšub to Utu (Utu E),,51,sux-x-emesal:mulu[person]N sux:zid[right]V/i sux-x-emesal:mulu[person]N sux:zid[right]V/i sux:gu[neck]N sux:gi[turn]V/i
c.4.32.e,A šir-namšub to Utu (Utu E),,52,sux-x-emesal:umun[lord]N sux:erim[storeroom]N sux:kur[mountain]N sux:gal[big]V/i sux-x-emesal:Enlil[1]DN sux:gu[neck]N sux:gi[turn]V/i
c.4.32.e,A šir-namšub to Utu (Utu E),,53,sux:nin[lady]N sux:erim[storeroom]N sux:ama[mother]N sux:gal[big]V/i sux:Ninlil[1]DN sux:gu[neck]N sux:gi[turn]V/i
c.4.32.e,A šir-namšub to Utu (Utu E),,54,sux:lu[person]N sux:zid[right]V/i sux:kaš[beer]N sux:bur[bowl]N sux-x-emesal:meri[foot]N sux:ki[place]N sux:KU[KU]V
c.4.32.e,A šir-namšub to Utu (Utu E),,55,sux:zabar[bronze]N sux-x-emesal:ši[life]N sux-x-emesal:sudmal[long-lasting]N sux:dirig[float]V/i
c.4.32.e,A šir-namšub to Utu (Utu E),,56,sux:Nibru[1]SN sux:du[build]V/t sux:X[X]V sux-x-emesal:šeb[brick]N sux:e[house]N
