id_text,text_name,version,l_no,text
c.6.1.09,Proverbs: collection 9,,A1,sux:nirŋal[authoritative]AJ sux:ana[what?]QP sux:dug[speak]V/t sux:sag[good]V/i
c.6.1.09,Proverbs: collection 9,,A2,sux:nirŋal[authoritative]AJ sux:ana[what?]QP sux:dug[speak]V/t sux:zid[right]V/i
c.6.1.09,Proverbs: collection 9,,A3,sux:nirŋal[authoritative]AJ sux:kugzu[wise]AJ sux:ukur[poor]V/i sux:šu[hand]N sux:dim[check]V/t
c.6.1.09,Proverbs: collection 9,,A4,sux:šu[hand]N sux:ŋar[place]V/t sux:ŋal[be]V/i sux:Aratta[1]SN
c.6.1.09,Proverbs: collection 9,,A5,sux:atuku[powerful]N sux:lugal[king]N sux:kindu[earth]N
c.6.1.09,Proverbs: collection 9,,A6,sux:usu[strength]N sux:kag[mouth]N sux:lu[person]N sux:kur[enter]V/i
c.6.1.09,Proverbs: collection 9,,A7,sux:usu[strength]N sux:igiŋaltuku[wise]AJ sux:sa[equal]V/t
c.6.1.09,Proverbs: collection 9,,A8,sux:usu[strength]N sux:diŋir[deity]N sux:ni[self]RP sux:til[complete]V/i
c.6.1.09,Proverbs: collection 9,,A9,sux:namŋuruš[manliness]N sux:anše[equid]N sux:kar[flee]V/t sux:haš[thigh]N sux:taka[abandon]V/t
c.6.1.09,Proverbs: collection 9,,A10,sux:zu[know]V/t sux:egal[palace]N sux:šar[3600]NU
c.6.1.09,Proverbs: collection 9,,A11,sux:zu[know]V/t sux:dug[speak]V/t sux:ishab[rogue]N
c.6.1.09,Proverbs: collection 9,,A12,sux:kugzu[wise]AJ sux:sa[equal]V/t
c.6.1.09,Proverbs: collection 9,,A13,sux:kag[mouth]N sux:tar[cut]V/t
c.6.1.09,Proverbs: collection 9,,A14,sux:gaz[kill]V/t sux:ŋar[place]V/t
c.6.1.09,Proverbs: collection 9,,A15,sux:šah[pig]N sux:niga[fattened]V/i sux:šum[slaughter]V/t sux:niŋ[thing]N sux:gu[eat]V/t sux:sug[replace]V/t
c.6.1.09,Proverbs: collection 9,,A16,sux:zahda[piglet]N sux:tur[small]V/i sux:šu[hand]N sux:gud[jump]V/t
c.6.1.09,Proverbs: collection 9,,A17,sux:sag[good]V/i sux:ŋaʾe[I]IP sux:gu[eat]V/t
c.6.1.09,Proverbs: collection 9,,A18,sux:dam[spouse]N sux-x-emesal:umunsik[ruler]N sux:gurum[bend]V/t sux:geme[worker]N sux:uš[die]V/i
c.6.1.09,Proverbs: collection 9,,A19,sux-x-emesal:umunsik[ruler]N sux:gurum[bend]V/t sux:arad[slave]N sux:uš[die]V/i
c.6.1.09,Proverbs: collection 9,,A20,sux:šag[heart]N
c.6.1.09,Proverbs: collection 9,,A21,sux:piš[bank]N sux:gu[neck]N
c.6.1.09,Proverbs: collection 9,,A22,
c.6.1.09,Proverbs: collection 9,,A23,
c.6.1.09,Proverbs: collection 9,,B1,sux:Nanni[1]RN sux:libir[old]V/i sux:kal[rare]V/i
c.6.1.09,Proverbs: collection 9,,B2,sux:lugal[king]N sux:egal[palace]N
c.6.1.09,Proverbs: collection 9,,B3,sux-x-emesal:gin[female-worker]N
c.6.1.09,Proverbs: collection 9,,B4,sux:egir[princess]N sux-x-emesal:gin[female-worker]N
c.6.1.09,Proverbs: collection 9,,B5,sux-x-emesal:aŋ[thing]N sux:tukumbi[if]CNJ
c.6.1.09,Proverbs: collection 9,,Bx,
c.6.1.09,Proverbs: collection 9,,B12,sux:lu[person]N sux:manzila[foot]N sux:suhub[boots]N sux:šu[hand]N sux:teŋ[approach]V/i
c.6.1.09,Proverbs: collection 9,,B13,sux-x-emesal:aŋdara[rag]N sux-x-emesal:aŋlam[garment]N sux:šu[hand]N sux:teŋ[approach]V/i
c.6.1.09,Proverbs: collection 9,,B14,sux-x-emesal:umun[lord]N
c.6.1.09,Proverbs: collection 9,,B15,sux-x-emesal:ere[slave]N sux-x-emesal:naŋumun[priesthood]N sux-x-emesal:ir[bring]V/t sux-x-emesal:gin[female-worker]N sux-x-emesal:naŋgašan[ladyship]N sux-x-emesal:ir[bring]V/t
c.6.1.09,Proverbs: collection 9,,B16,sux-x-emesal:aŋ[thing]N
c.6.1.09,Proverbs: collection 9,,B17,sux:munus[woman]N
c.6.1.09,Proverbs: collection 9,,B18,sux:gaz[kill]V/t
c.6.1.09,Proverbs: collection 9,,C1,sux:niŋ[thing]N sux:lu[person]N
c.6.1.09,Proverbs: collection 9,,C2,sux:ur[dog]N
c.6.1.09,Proverbs: collection 9,,C3,sux:ur[dog]N sux:ŋeš[tree]N
c.6.1.09,Proverbs: collection 9,,C4,sux:ur[dog]N sux:munus[woman]N
c.6.1.09,Proverbs: collection 9,,C5,
c.6.1.09,Proverbs: collection 9,,C6,sux:e[house]N
c.6.1.09,Proverbs: collection 9,,D1,sux:lu[person]N
c.6.1.09,Proverbs: collection 9,,D2,sux:kugzu[wise]AJ
c.6.1.09,Proverbs: collection 9,,D3,sux:galanzu[wise]AJ
c.6.1.09,Proverbs: collection 9,,D4,sux:ishab[rogue]N sux:kibid[buttocks]N
c.6.1.09,Proverbs: collection 9,,D5,sux:šu[hand]N sux:šanšaša[cvve]V/t sux:šu[hand]N sux:bed[defecate]V/t sux:gid[long]V/i
c.6.1.09,Proverbs: collection 9,,D6,sux:kaš[runner]N sux:dug[speak]V/t sux:lugal[king]N
c.6.1.09,Proverbs: collection 9,,D7,sux:kug[metal]N sux:kugsig[gold]N
c.6.1.09,Proverbs: collection 9,,D8,sux:dubšen[chest]N
c.6.1.09,Proverbs: collection 9,,D9,sux:ŋaʾe[I]IP sux:til[complete]V/i
c.6.1.09,Proverbs: collection 9,,D10,
c.6.1.09,Proverbs: collection 9,,E1,sux:me[Being]N
c.6.1.09,Proverbs: collection 9,,E2,sux:dumu[child]N
c.6.1.09,Proverbs: collection 9,,E3,
c.6.1.09,Proverbs: collection 9,,E4,sux:dam[spouse]N sux:igi[eye]N sux:sila[unit]N
c.6.1.09,Proverbs: collection 9,,E5,sux:ŋeštug[ear]N
c.6.1.09,Proverbs: collection 9,,E6,sux:igi[eye]N sux:du[spread]V/t
c.6.1.09,Proverbs: collection 9,,E7,sux:ŋen[go]V/i sux:lu[person]N sux:niŋlul[falsehood]N
c.6.1.09,Proverbs: collection 9,,E8,sux:Utu[1]DN sux:dikud[judge]N sux:did[lawsuit]N sux:kud[cut]V/t
c.6.1.09,Proverbs: collection 9,,E9,sux:kaš[decision]N sux:bar[outside]V/t sux:kaš[decision]N sux:bar[outside]V/t
c.6.1.09,Proverbs: collection 9,,E10,sux:mašŋik[vision]N sux:igi[eye]N sux:du[spread]V/t sux:sag[good]V/i sux:kur[enter]V/i
c.6.1.09,Proverbs: collection 9,,E11,sux:si[horn]N sux:sa[equal]V/t sux:ŋen[go]V/i sux:taba[companion]N sux:sa[equal]V/t sux:dug[speak]V/t
c.6.1.09,Proverbs: collection 9,,E12,sux:gi[turn]V/i sux:ma[ship]N sux:gid[long]V/i sux:usag[sleep]N sux:dab[seize]V/t
c.6.1.09,Proverbs: collection 9,,E13,sux:gi[turn]V/i sux:usag[sleep]N sux:dab[seize]V/t sux:kaskal[way]N sux:ŋen[go]V/i
c.6.1.09,Proverbs: collection 9,,E14,sux:namsuna[humility]N sux:aba[who?]QP sux:sa[equal]V/t sux:sag[good]V/i sux:ŋal[be]V/i
c.6.1.09,Proverbs: collection 9,,F1,
c.6.1.09,Proverbs: collection 9,,F2,sux:dubsar[scribe]N
c.6.1.09,Proverbs: collection 9,,F3,sux:dubsar[scribe]N
c.6.1.09,Proverbs: collection 9,,F4,sux:esir[shoe]N
c.6.1.09,Proverbs: collection 9,,F5,sux:ki[place]N sux:lu[person]N
c.6.1.09,Proverbs: collection 9,,F6,sux:kug[pure]V/i
c.6.1.09,Proverbs: collection 9,,F7,
c.6.1.09,Proverbs: collection 9,,F8,
c.6.1.09,Proverbs: collection 9,,F9,
c.6.1.09,Proverbs: collection 9,,G1,
c.6.1.09,Proverbs: collection 9,,G2,
c.6.1.09,Proverbs: collection 9,,G3,sux:niŋ[thing]N sux:še[barley]N
c.6.1.09,Proverbs: collection 9,,G4,sux-x-emesal:zeŋ[give]V/t
c.6.1.09,Proverbs: collection 9,,G5,sux:X[X]V
c.6.1.09,Proverbs: collection 9,,G6,sux:ŠUB[ŠUB]V
c.6.1.09,Proverbs: collection 9,,G7,sux:de[bring]V/t
c.6.1.09,Proverbs: collection 9,,G8,sux:de[bring]V/t sux:lu[abundant]V/i
c.6.1.09,Proverbs: collection 9,,G9,sux:namburšuma[~official]N sux:Lusuena[1]PN
c.6.1.09,Proverbs: collection 9,,G10,sux:kur[mountain]N sux:kug[metal]N sux:bal[dig]V/t sux:lu[person]N sux:dimma[thought]N sux:sag[good]V/i
c.6.1.09,Proverbs: collection 9,,H1,sux:gi[turn]V/i
c.6.1.09,Proverbs: collection 9,,H2,
c.6.1.09,Proverbs: collection 9,,H3,
c.6.1.09,Proverbs: collection 9,,H4,sux:šunir[emblem]N sux:šu[hand]N sux:sig[put]V/t
c.6.1.09,Proverbs: collection 9,,H5,sux:sahar[soil]N sux:šu[hand]N sux:si[fill]V/t
c.6.1.09,Proverbs: collection 9,,H6,sux:lu[person]N sux:zu[know]V/t
c.6.1.09,Proverbs: collection 9,,H7,sux:NUN[NUN]N sux:mur[dress]V/t
c.6.1.09,Proverbs: collection 9,,H8,sux:kug[pure]V/i sux:tur[small]V/i sux:sa[equal]V/t sux:dug[speak]V/t
c.6.1.09,Proverbs: collection 9,,H9,sux:an[sky]N sux:šeŋ[rain]V/i
c.6.1.09,Proverbs: collection 9,,H10,sux:ana[what?]QP sux:adus[plank]N
c.6.1.09,Proverbs: collection 9,,H11,sux:BU[BU]V
c.6.1.09,Proverbs: collection 9,,H12,sux:gub[stand]V/i
c.6.1.09,Proverbs: collection 9,,H13,sux:igi[eye]N sux:de[bring]V/t
c.6.1.09,Proverbs: collection 9,,H14,sux:dikud[judge]N
c.6.1.09,Proverbs: collection 9,,H15,sux:ŋeš[tree]N sux:nud[lie]V/i
