id_text,text_name,version,l_no,text
c.6.2.4,Proverbs: from Unug,AUWE 23 120-121,A1,sux:de[pour]V/t
c.6.2.4,Proverbs: from Unug,AUWE 23 120-121,A2,
c.6.2.4,Proverbs: from Unug,AUWE 23 120-121,A3,
c.6.2.4,Proverbs: from Unug,AUWE 23 120-121,A4,
c.6.2.4,Proverbs: from Unug,AUWE 23 120-121,B1,
c.6.2.4,Proverbs: from Unug,AUWE 23 120-121,B2,sux:an[sky]N sux:gur[lift]V/t sux:ki[place]N sux:šu[hand]N sux:la[hang]V/t
c.6.2.4,Proverbs: from Unug,AUWE 23 120-121,B3,sux:Enlil[1]DN sux:šerda[crime]N sux:gal[big]V/i sux:šaŋar[starvation]N
c.6.2.4,Proverbs: from Unug,AUWE 23 120-121,B4,sux:šulalum[punishment]N sux:il[raise]V/t
c.6.2.4,Proverbs: from Unug,AUWE 23 120-121,B5,sux:lu[person]N sux:gašum[assassin]N sux:lu[person]N
c.6.2.4,Proverbs: from Unug,AUWE 23 120-121,B6,sux:me[be]V/i sux:lu[person]N sux:dud[combat]N sux:kur[enter]V/i
c.6.2.4,Proverbs: from Unug,AUWE 23 120-121,B7,sux:ua[provisioner]N sux:saŋguŋal[proud]AJ
c.6.2.4,Proverbs: from Unug,AUWE 23 120-121,B8,sux:tumu[wind]N
c.6.2.4,Proverbs: from Unug,AUWE 23 120-121,B9,sux:sig[put]V/t
c.6.2.4,Proverbs: from Unug,AUWE 23 120-121,B10,sux:satium[wind]N sux:tumu[wind]N sux:šeŋ[rain]V/i
c.6.2.4,Proverbs: from Unug,AUWE 23 120-121,B11,sux:MAR.TU[westerner]N sux:lu[person]N sux:til[live]V/i sux:dirig[float]V/i
c.6.2.4,Proverbs: from Unug,AUWE 23 120-121,B12,sux:satium[wind]N sux:tumu[wind]N sux:heŋal[plenty]N
c.6.2.4,Proverbs: from Unug,AUWE 23 120-121,B13,sux:guli[friend]N sux:Naramsuen[1]RN
c.6.2.4,Proverbs: from Unug,AUWE 23 117,1,
c.6.2.4,Proverbs: from Unug,AUWE 23 117,2,
c.6.2.4,Proverbs: from Unug,AUWE 23 117,3,sux:de[pour]V/t sux:e[leave]V/i
c.6.2.4,Proverbs: from Unug,AUWE 23 117,4,sux:šar[unmng]V sux:hulu[bad]V/i
c.6.2.4,Proverbs: from Unug,AUWE 23 117,5,sux:utud[bear]V/t
c.6.2.4,Proverbs: from Unug,AUWE 23 117,6,sux:erešdiŋir[priestess]N sux:kisikil[woman]N
c.6.2.4,Proverbs: from Unug,AUWE 23 117,7,sux:e[leave]V/i sux:kisikil[woman]N
c.6.2.4,Proverbs: from Unug,AUWE 23 117,8,sux:gi[turn]V/i
c.6.2.4,Proverbs: from Unug,AUWE 23 117,9,sux:uŋ[people]N
c.6.2.4,Proverbs: from Unug,AUWE 23 119,1,
c.6.2.4,Proverbs: from Unug,AUWE 23 119,2,
c.6.2.4,Proverbs: from Unug,AUWE 23 119,3,
c.6.2.4,Proverbs: from Unug,AUWE 23 119,4,
c.6.2.4,Proverbs: from Unug,AUWE 23 119,5,
c.6.2.4,Proverbs: from Unug,AUWE 23 118,1,
c.6.2.4,Proverbs: from Unug,AUWE 23 118,2,sux:ŋar[place]V/t
c.6.2.4,Proverbs: from Unug,AUWE 23 118,3,
c.6.2.4,Proverbs: from Unug,AUWE 23 118,4,
