etcsl_no,text_name,version,l_no,text
c.1.8.1.4,Gilgameš Enkidu and the nether world,A,1,sux:ud[day(light)]N sux:re[that]PD sux:ud[day(light)]N sux:sud[to-be-distant]V sux:re[that]PD
c.1.8.1.4,Gilgameš Enkidu and the nether world,A,2,sux:ŋi₆[night]N sux:re[that]PD sux:ŋi₆[night]N sux:bad[to-open]V sux:re[that]PD
c.1.8.1.4,Gilgameš Enkidu and the nether world,A,3,sux:mu[year]N sux:re[that]PD sux:mu[year]N sux:sud[to-be-distant]V sux:re[that]PD
c.1.8.1.4,Gilgameš Enkidu and the nether world,A,4,sux:ud[day(light)]N sux:ul[distant-time]N sux:niŋ₂-du₇[propriety]N sux:pa[branch]N sux:e₃[to-go-out-or-in]V
c.1.8.1.4,Gilgameš Enkidu and the nether world,A,5,sux:ud[day(light)]N sux:ul[distant-time]N sux:niŋ₂-du₇[propriety]N sux:mi₂[(loving)-care]N sux:zid[right]AJ sux:dug₄[to-say]V
c.1.8.1.4,Gilgameš Enkidu and the nether world,A,6,sux:eš₃[shrine]N sux:kalam[the-Land]N sux:ninda[bread]N sux:šu₂[to-cover]V
c.1.8.1.4,Gilgameš Enkidu and the nether world,A,7,sux:šu-rin-na[oven]N sux:kalam[the-Land]N sux:niŋ₂-tab[oven-fire]N sux:ak[to-do]V
c.1.8.1.4,Gilgameš Enkidu and the nether world,A,8,sux:an[heaven]N sux:ki[place]N sux:bad[to-open]V
c.1.8.1.4,Gilgameš Enkidu and the nether world,A,9,sux:ki[place]N sux:an[heaven]N sux:sur[to-drip]V
c.1.8.1.4,Gilgameš Enkidu and the nether world,A,10,sux:mu[name]N sux:nam-lu₂-ulu₃[humanity]N sux:ŋar[to-place]V
c.1.8.1.4,Gilgameš Enkidu and the nether world,A,11,sux:ud[day(light)]N sux:An[1]DN sux:an[heaven]N sux:de₆[to-carry]V
c.1.8.1.4,Gilgameš Enkidu and the nether world,A,12,sux:Enlil[1]DN sux:ki[place]N sux:de₆[to-carry]V
c.1.8.1.4,Gilgameš Enkidu and the nether world,A,13,sux:Ereškigala[1]DN sux:kur[(mountain)-land]N sux:saŋ[head]N sux:rig₇[to-bestow]V sux:rig₇[to-bestow]V
c.1.8.1.4,Gilgameš Enkidu and the nether world,A,14,sux:u₅[to-ride]V sux:u₅[to-ride]V
c.1.8.1.4,Gilgameš Enkidu and the nether world,A,15,sux:a-a[father]N sux:kur[(mountain)-land]N sux:u₅[to-ride]V
c.1.8.1.4,Gilgameš Enkidu and the nether world,A,16,sux:Enki[1]DN sux:kur[(mountain)-land]N sux:u₅[to-ride]V
c.1.8.1.4,Gilgameš Enkidu and the nether world,A,17,sux:lugal[king]N sux:tur[to-be-small]V sux:ri[to-direct]V
c.1.8.1.4,Gilgameš Enkidu and the nether world,A,18,sux:Enki[1]DN sux:gal[to-be-big]V sux:ri[to-direct]V
c.1.8.1.4,Gilgameš Enkidu and the nether world,A,19,sux:tur[to-be-small]V sux:na₄[stone]N sux:šu[hand]N
