id_text,text_name,version,l_no,text
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,1,sux:i₃-a[type-of-exclamation]I sux:lum[to-thrive]V sux:u₃-luh[sceptre]N sux:sud[to-be-distant]V
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,2,sux:dumu-gir₁₅[citizen]N sux:giri₁₇-zal[joy]N sux:diŋir[deity]N
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,3,sux:gud[bull]N sux:lipiš-tuku[furious]AJ sux:me₃[battle]N sux:gub[to-stand]V
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,4,sux:en[lord]N sux:Gilgameš[1]DN sux:Unug[1]SN sux:mi₂[(loving)-care]N sux:dug₄[to-say]V
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,5,sux:Unug[1]SN sux:lu₂[person]N sux:uš₂[to-die]V sux:ur₅[liver]N sux:sag₃[to-beat]V
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,6,sux:lu₂[person]N sux:u₂-gu[noun-part-of-multiword-verb]N sux:de₂[to-pour]V sux:šag₄[heart]N sux:hul[to-be-bad]V sux:ŋar[to-place]V
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,7,sux:bad₃[wall]N sux:su[flesh]N sux:la₂[to-hang]V
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,8,sux:lu₂[person]N sux:a-a[father]N sux:dirig[to-be-superior]V sux:igi[eye]N sux:sig₁₀[to-place]V
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,9,sux:ur₅[liver]N sux:uš₂[to-die]V sux:šag₄[heart]N sux:sag₃[to-beat]V
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,10,sux:zag[side]N sux:nam-til₃[life]N sux:saŋ[head]N sux:gi₄[to-return]V
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,11,sux:irigal[underworld]N sux:kur[(mountain)-land]N sux:nam-gu₂-ka[submission]N sux:lu₂[person]N sux:taka₄[to-leave-behind]V
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,12,sux:sud[to-be-distant]V sux:kur[(mountain)-land]N sux:gib[to-lie-across-(obstructively)]V
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,13,sux:daŋal[to-be-wide]V sux:kur[(mountain)-land]N sux:šu₂[to-cover]V
