id_text,text_name,version,l_no,text
c.2.4.3.1,Amar-Suena and Enki's temple (Amar-Suena A),,A1,sux:alad[guardian-deity]N
c.2.4.3.1,Amar-Suena and Enki's temple (Amar-Suena A),,A2,sux:Amar-Suena[1]RN sux:šag₄[heart]N
c.2.4.3.1,Amar-Suena and Enki's temple (Amar-Suena A),,A3,sux:lu₂[person]N sux:ha-zi-in[type-of-axe]N sux:e₂[house(hold)]N
c.2.4.3.1,Amar-Suena and Enki's temple (Amar-Suena A),,A4,sux:Amar-Suena[1]RN sux:eš₃[shrine]N sux:Abzu[1]TN
c.2.4.3.1,Amar-Suena and Enki's temple (Amar-Suena A),,A5,sux:kug-sig₁₇[gold]N sux:du₃[to-erect]V sux:za-gin₃[lapis-lazuli]N sux:šu[hand]N sux:tag[to-touch]V
c.2.4.3.1,Amar-Suena and Enki's temple (Amar-Suena A),,A6,sux:e₂[house(hold)]N sux:du₃[to-erect]V sux:šu[hand]N sux:ŋar[to-place]V
c.2.4.3.1,Amar-Suena and Enki's temple (Amar-Suena A),,A7,sux:Amar-Suena[1]RN sux:lugal[king]N sux:e₂[house(hold)]N sux:du₃[to-erect]V sux:šu[hand]N sux:ŋar[to-place]V
c.2.4.3.1,Amar-Suena and Enki's temple (Amar-Suena A),,A8,sux:lugal[king]N sux:uŋ₃[people]N sux:bal[to-turn-over]V sux:kur[(mountain)-land]N
c.2.4.3.1,Amar-Suena and Enki's temple (Amar-Suena A),,A9,sux:e₂[house(hold)]N sux:mu[year]N sux:1-kam-ma[1st]NU sux:šub[to-fall]V sux:ki[place]N sux:gi₄[to-return]V
c.2.4.3.1,Amar-Suena and Enki's temple (Amar-Suena A),,A10,sux:Amar-Suena[1]RN sux:me[essence]N sux:nam-lugal[kingship]N
c.2.4.3.1,Amar-Suena and Enki's temple (Amar-Suena A),,A11,sux:mu[year]N sux:2-kam-ma[2nd]NU sux:šub[to-fall]V sux:ki[place]N sux:gi₄[to-return]V
c.2.4.3.1,Amar-Suena and Enki's temple (Amar-Suena A),,A12,sux:Amar-Suena[1]RN sux:lu-bu-uš-tum[clothing]N sux:nam-lugal[kingship]N sux:tug₂-mu-dur₇-ra[dirty-textile]N
c.2.4.3.1,Amar-Suena and Enki's temple (Amar-Suena A),,A13,sux:mu[year]N sux:3-kam-ma[3rd]NU sux:šub[to-fall]V sux:ki[place]N sux:gi₄[to-return]V
c.2.4.3.1,Amar-Suena and Enki's temple (Amar-Suena A),,A14,sux:Amar-Suena[1]RN sux:ŋiš-gana₂[birch?]N sux:ŋiškim[sign]N sux:bur₂[to-release]V
c.2.4.3.1,Amar-Suena and Enki's temple (Amar-Suena A),,A15,sux:mu[year]N sux:4-kam-ma[4th]NU sux:šub[to-fall]V sux:ki[place]N sux:gi₄[to-return]V
c.2.4.3.1,Amar-Suena and Enki's temple (Amar-Suena A),,A16,sux:abgal[sage]N sux:dug₄[to-say]V sux:dug₄[to-say]V sux:ŋiš-hur[design]N sux:e₂[house(hold)]N sux:pa[branch]N sux:e₃[to-go-out-or-in]V sux:ak[to-do]V
c.2.4.3.1,Amar-Suena and Enki's temple (Amar-Suena A),,A17,sux:mu[year]N sux:5-kam-ma[5th]NU sux:šub[to-fall]V sux:ki[place]N sux:gi₄[to-return]V
c.2.4.3.1,Amar-Suena and Enki's temple (Amar-Suena A),,A18,sux:eš₃[shrine]N sux:Abzu[1]TN sux:kalag[to-be-strong]V sux:šu[hand]N sux:ra[to-beat]V
c.2.4.3.1,Amar-Suena and Enki's temple (Amar-Suena A),,A19,sux:mu[year]N sux:6-kam-ma[6th]NU sux:šub[to-fall]V sux:ki[place]N sux:gi₄[to-return]V
c.2.4.3.1,Amar-Suena and Enki's temple (Amar-Suena A),,A20,sux:ŋiš-hur[design]N sux:e₂[house(hold)]N sux:kiŋ₂[to-seek]V sux:pad₃[to-find]V
c.2.4.3.1,Amar-Suena and Enki's temple (Amar-Suena A),,A21,sux:mu[year]N sux:7-kam-ma[7th]NU sux:šub[to-fall]V sux:ki[place]N sux:gi₄[to-return]V
