id_text,text_name,version,l_no,text
c.2.5.4.b,A hymn to Enki for Išme-Dagan,,1,ambar[marsh]N
c.2.5.4.b,A hymn to Enki for Išme-Dagan,,2,a-gar₃[meadow]N gal[to-be-big]V gana₂[field]N
c.2.5.4.b,A hymn to Enki for Išme-Dagan,,3,pu₂-kiri₆[orchard]N kug[shining]AJ il₂[to-raise]V
c.2.5.4.b,A hymn to Enki for Išme-Dagan,,4,u₂-gu₇[food]N a[water]N naŋ[to-drink]V Anuna[1]DN
c.2.5.4.b,A hymn to Enki for Išme-Dagan,,5,a-a[father]N Enlil[1]DN ama[mother]N gal[to-be-big]V Ninlil[1]DN saŋ[head]N rig₇[to-bestow]V
c.2.5.4.b,A hymn to Enki for Išme-Dagan,,6,Nibru[1]SN mah[to-be-majestic]V en[lord]N nin[lady]N diŋir[deity]N na-me[any]PD dib[to-pass]V
c.2.5.4.b,A hymn to Enki for Išme-Dagan,,7,e-ne[he;-she]PD nun[prince]N er₉[to-be-mighty]V diŋir[deity]N pa[branch]N e₃[to-go-out-or-in]V
c.2.5.4.b,A hymn to Enki for Išme-Dagan,,8,Enlil[1]DN Ninlil[1]DN diŋir[deity]N na-me[any]PD dib[to-pass]V
c.2.5.4.b,A hymn to Enki for Išme-Dagan,,9,e-ne[he;-she]PD nun[prince]N er₉[to-be-mighty]V en[lord]N nam[destiny]N tar[to-cut]V
c.2.5.4.b,A hymn to Enki for Išme-Dagan,,10,šag₄[heart]N lugal[king]N Enki[1]DN me[essence]N šum₂[to-give]V
c.2.5.4.b,A hymn to Enki for Išme-Dagan,,11,Nibru[1]SN šir₃[song]N kug[shining]AJ niŋ₂[thing]N kal[to-be-rare]V ar₂[praise]N dib[to-pass]V
c.2.5.4.b,A hymn to Enki for Išme-Dagan,,12,Išme-Dagan[1]RN du-ri₂[eternity]N ka[mouth]N ŋar[to-place]V
