etcsl_no,text_name,version,l_no,text
c.3.3.39,Letter from Kug-Nanna to the god Ninšubur,,A2,sux:dug₄[to-say]V
c.3.3.39,Letter from Kug-Nanna to the god Ninšubur,,A3,sux:ad[voice]N sux:gi₄[to-return]V sux:en₃[noun-part-of-multiword-verb]N sux:tar[to-cut]V
c.3.3.39,Letter from Kug-Nanna to the god Ninšubur,,A4,sux:diŋir[deity]N sux:me[essence]N sux:ba[to-allot]V sux:inim[word]N sux:dug₃[to-be-good]V sux:u₃-luh[sceptre]N sux:gi-rin[blossom]N sux:saŋ[head]N
c.3.3.39,Letter from Kug-Nanna to the god Ninšubur,,A5,sux:diŋir[deity]N sux:gada[linen-(fibre)]N sux:la₂[to-hang]V sux:abzu[underground-water]N sux:saŋŋa[temple-administrator]N sux:gal[to-be-big]V sux:ba-an-gi₄[response]N sux:sag₉[to-be-good]V sux:dug₄[to-say]V sux:saŋ[head]N sux:ŋen[to-go]V
c.3.3.39,Letter from Kug-Nanna to the god Ninšubur,,A6,sux:igi[eye]N sux:tarah[wild-goat]N sux:abzu[underground-water]N sux:uru₁₆[to-be-towering]V sux:en[lord]N sux:ŋeštug₂[ear]N sux:daŋal[to-be-wide]V sux:til[to-complete]V
c.3.3.39,Letter from Kug-Nanna to the god Ninšubur,,A7,sux:lagar₃[minister]N sux:ad-hal[secret]N sux:An[1]DN sux:zu[to-know]V sux:diŋir[deity]N sux:na-me[any]PD sux:sa₂[to-equal]V
c.3.3.39,Letter from Kug-Nanna to the god Ninšubur,,A8,sux:en[lord]N sux:lamma[guardian-deity]N sux:igi[eye]N sux:dug₃[to-be-good]V sux:gal[to-be-big]V sux:nir[authority]N sux:gub[to-stand]V
c.3.3.39,Letter from Kug-Nanna to the god Ninšubur,,A9,sux:nidba[(food)-offering]N sux:šum₂[to-give]V sux:Anuna[1]DN sux:diŋir[deity]N sux:gal[to-be-big]V
c.3.3.39,Letter from Kug-Nanna to the god Ninšubur,,A10,sux:na[advice]N sux:de₅[to-collect]V sux:e₃[to-go-out-or-in]V sux:utah[heaven]N sux:kug[shining]AJ sux:Inana[1]DN sux:tum₂[to-be-suitable]V
c.3.3.39,Letter from Kug-Nanna to the god Ninšubur,,A11,sux:e-ne[he;-she]PD sux:nu[not]NEG sux:nam-en[high-(priestly)-office]N sux:nam-lugal[kingship]N sux:ŋidru[sceptre]N sux:mah[to-be-majestic]V sux:šum₂[to-give]V
c.3.3.39,Letter from Kug-Nanna to the god Ninšubur,,A12,sux:Ninšubur[1]DN sux:diŋir[deity]N sux:šag₄-la₂[mercy]N sux:sug₄[to-be-full]V sux:šudu₃[prayer]N sux:a-ra-zu[supplication]N sux:ŋiš[tree]N sux:tuku[to-have]V sux:tah[to-add]V
c.3.3.39,Letter from Kug-Nanna to the god Ninšubur,,A13,sux:Kug-Nanna[1]PN sux:šim-mu₂[type-of-priest]N sux:dumu[child]N sux:Lugal-ka-gena[1]PN sux:arad[slave]N sux:dug₄[to-say]V
c.3.3.39,Letter from Kug-Nanna to the god Ninšubur,,A14,sux:šu-gi₄[elderly]AJ sux:silim[to-be-healthy]V sux:ŋiš-šu[shackle]N sux:dab₅[to-seize]V
c.3.3.39,Letter from Kug-Nanna to the god Ninšubur,,A15,
c.3.3.39,Letter from Kug-Nanna to the god Ninšubur,,B1,
c.3.3.39,Letter from Kug-Nanna to the god Ninšubur,,B2,sux:gul[to-destroy]V sux:gul[to-destroy]V
c.3.3.39,Letter from Kug-Nanna to the god Ninšubur,,B3,sux:nam-uš₂[death]N sux:kur₂[to-be-different]V sux:igi[eye]N sux:tur[to-be-small]V sux:du₃[to-erect]V sux:ak[to-do]V sux:in[abuse]N sux:ŋar[to-place]V
c.3.3.39,Letter from Kug-Nanna to the god Ninšubur,,B4,sux:gu₅-li[friend]N sux:e-sir₂[street]N sux:ka[mouth]N sux:ba[to-allot]V sux:gu₂[neck]N sux:ki[place]N sux:ŋar[to-place]V
c.3.3.39,Letter from Kug-Nanna to the god Ninšubur,,B5,sux:tukum-bi[if]C sux:diŋir[deity]N sux:an-na[approval]N
c.3.3.39,Letter from Kug-Nanna to the god Ninšubur,,B6,sux:šag₄[heart]N sux:ib₂[to-be-furious]V sux:huŋ[to-hire]V sux:ur₅[liver]N sux:bur₂[to-release]V
c.3.3.39,Letter from Kug-Nanna to the god Ninšubur,,B7,sux:maškim[judicial-officer]N sux:hul[to-be-bad]V sux:ŋar[to-place]V sux:si-il[to-split-apart]V sux:su[flesh]N sux:dal[to-fly]V
c.3.3.39,Letter from Kug-Nanna to the god Ninšubur,,B8,sux:Asag[1]DN sux:ŋiš-gen₆-na[limb]N sux:zig₃[to-rise]V sux:ud[day(light)]N sux:ku₁₀-ku₁₀[to-be-dark]V sux:zalag[to-be-shining]V
c.3.3.39,Letter from Kug-Nanna to the god Ninšubur,,B9,sux:nir[authority]N sux:dugud[to-be-heavy]V sux:il₂[to-raise]V sux:gul[to-destroy]V sux:dug₄[to-say]V
c.3.3.39,Letter from Kug-Nanna to the god Ninšubur,,B10,sux:arad[slave]N sux:sun₅[to-be-humble]V sux:til[to-complete]V sux:gul[to-destroy]V sux:dug₄[to-say]V
c.3.3.39,Letter from Kug-Nanna to the god Ninšubur,,B11,sux:ga[milk]N sux:za[you-(sg.)]PD sux:nam-gur₄[magnitude]N
c.3.3.39,Letter from Kug-Nanna to the god Ninšubur,,B12,sux:ki[place]N
c.3.3.39,Letter from Kug-Nanna to the god Ninšubur,,B13,
