id_text,text_name,version,l_no,text
c.4.07.a,A hymn to Inana,,1,in-nin[mistress]N
c.4.07.a,A hymn to Inana,,2,šul[young-man]N meš₃[hero]N gi₄[to-return]V Inana[1]DN nin[lady]N
c.4.07.a,A hymn to Inana,,3,eš₃[shrine]N Nibru[1]SN E-du-kug[1]TN dug₄[to-say]V An[1]DN
c.4.07.a,A hymn to Inana,,4,men[diadem]N kug[shining]AJ An[1]DN saŋ[head]N ŋal₂[to-be-(located)]V
c.4.07.a,A hymn to Inana,,5,tug₂-ba₁₃[type-of-garment]N kug[shining]AJ An[1]DN šag₄[heart]N la₂[to-hang]V
c.4.07.a,A hymn to Inana,,6,ŋidru[sceptre]N kug[shining]AJ An[1]DN šu[hand]N ŋal₂[to-be-(located)]V
c.4.07.a,A hymn to Inana,,7,unken[assembly]N tuš[to-sit]V dur₂[rump]N ŋar[to-place]V
c.4.07.a,A hymn to Inana,,8,di[(law)suit]N gal[to-be-big]V kur[(mountain)-land]N kud[to-cut]V
c.4.07.a,A hymn to Inana,,9,ka-aš[decision]N mah[to-be-majestic]V kur[(mountain)-land]N bad[to-open]V
c.4.07.a,A hymn to Inana,,10,nu₁₁[light]N an[heaven]N kar₂[to-blow]V kug[shining]AJ Inana[1]DN igi[eye]N ŋal₂[to-be-(located)]V
c.4.07.a,A hymn to Inana,,11,Urim[1]SN E-kiš-nu-ŋal[1]TN
c.4.07.a,A hymn to Inana,,12,nu-u₈-gig[high-status-woman]N a-a[father]N Suen[1]DN
c.4.07.a,A hymn to Inana,,13,inim[word]N dug₄[to-say]V
c.4.07.a,A hymn to Inana,,14,he₂-ŋal₂[plenty]N kur[(mountain)-land]N šu[hand]N la₂[to-hang]V
c.4.07.a,A hymn to Inana,,15,nin₉[sister]N gi-ri₂-in[cornelian]N sikil[to-be-pure]V
c.4.07.a,A hymn to Inana,,16,kug[shining]AJ Inana[1]DN ki[place]N kur₂[to-be-different]V
c.4.07.a,A hymn to Inana,,17,e₂[house(hold)]N ga-ša-an[lady]N šum₂[to-give]V hi-li[attractiveness]N du₈[to-spread]V
c.4.07.a,A hymn to Inana,,18,alan[statue]N ki[place]N gub[to-stand]V
