etcsl_no,text_name,version,l_no,text
c.4.13.a,A hymn to Nanna,,1,sux:nam₂[lord]N sux:nun[prince]N sux:saŋ-kal[foremost]AJ sux:E-kur[1]TN sux:ni₂[fear(someness)]N
c.4.13.a,A hymn to Nanna,,2,sux:Suen[1]DN sux:zil₂[to-be-pleasing]V sux:Enlil[1]DN sux:zi-ŋal₂[living]AJ
c.4.13.a,A hymn to Nanna,,3,sux:amar[calf]N sux:gug[cornelian]N sux:hi-li[attractiveness]N sux:šu[hand]N sux:tag[to-touch]V sux:sud-aŋ₂[brilliance]N
c.4.13.a,A hymn to Nanna,,4,sux:nun[prince]N sux:saŋ-ki[forehead]N sux:lum[to-thrive]V sux:muš₃[face]N
c.4.13.a,A hymn to Nanna,,5,sux:Suen[1]DN sux:ur-saŋ[hero]N sux:ne₃[strength]N sux:gal[to-be-big]V sux:tuku[to-have]V sux:nam-gur₄[magnitude]N
c.4.13.a,A hymn to Nanna,,6,sux:utah[heaven]N sux:sikil[to-be-pure]V sux:i-lim[(awesome)-radiance]N sux:ki[place]N sux:daŋal[to-be-wide]V sux:ni₂[fear(someness)]N sux:te[to-approach]V
c.4.13.a,A hymn to Nanna,,7,sux:diŋir[deity]N sux:pa[branch]N sux:e₃[to-go-out-or-in]V
c.4.13.a,A hymn to Nanna,,8,sux:gal[to-be-big]V
c.4.13.a,A hymn to Nanna,,9,sux:te[to-approach]V sux:an[heaven]N sux:ki[place]N sux:kur₂[to-be-different]V
c.4.13.a,A hymn to Nanna,,10,sux:til₃[to-live]V sux:saŋ[head]N
c.4.13.a,A hymn to Nanna,,11,
c.4.13.a,A hymn to Nanna,,12,
c.4.13.a,A hymn to Nanna,,13,
c.4.13.a,A hymn to Nanna,,14,sux:nam-te[fear]N
c.4.13.a,A hymn to Nanna,,15,sux:nam[destiny]N
c.4.13.a,A hymn to Nanna,,16,sux:Enlil[1]DN sux:mu[name]N sux:gen₆[to-be-firm]V sux:pad₃[to-find]V
c.4.13.a,A hymn to Nanna,,17,sux:ni₂[fear(someness)]N sux:nam-en[high-(priestly)-office]N sux:nam-gal[greatness]N sux:mu[name]N sux:dug₃[to-be-good]V sux:pad₃[to-find]V sux:nam-gal[greatness]N
c.4.13.a,A hymn to Nanna,,18,sux:ama[mother]N sux:a-a[father]N sux:dug₄[to-say]V sux:X[X]N
c.4.13.a,A hymn to Nanna,,19,sux:kur[(mountain)-land]N sux:gal[to-be-big]V sux:Enlil[1]DN sux:dug₄[to-say]V
c.4.13.a,A hymn to Nanna,,20,sux:diŋir[deity]N sux:šeš[brother]N sux:nam-ŊIŠGAL[meaning-unknown]N sux:X[X]N
c.4.13.a,A hymn to Nanna,,21,sux:ama[mother]N sux:Ninlil[1]DN sux:nitalam[spouse]N
c.4.13.a,A hymn to Nanna,,22,sux:kur[(mountain)-land]N sux:gal[to-be-big]V sux:Enlil[1]DN sux:inim[word]N
c.4.13.a,A hymn to Nanna,,23,sux-x-emesal:mu-ud-na[spouse]N sux:dumu[child]N sux:Suen[1]DN
c.4.13.a,A hymn to Nanna,,24,sux-x-emesal:du₅-mu[child]N sux:zil₂[to-be-pleasing]V sux:i-lu[(sad)-song]N sux-x-emesal:ša₃-ab[heart]N sux:nam[destiny]N
c.4.13.a,A hymn to Nanna,,25,sux:tud[to-give-birth]V sux:ama[mother]N sux:ab-ba[father]N sux:za[you-(sg.)]PD
c.4.13.a,A hymn to Nanna,,26,sux:nun[prince]N sux:ka[mouth]N sux:silim[to-be-healthy]V sux:E-kur[1]TN sux:lum[to-thrive]V sux:Ki-ur[1]TN
c.4.13.a,A hymn to Nanna,,27,sux-x-emesal:mu-nu₁₀[herdsman]N sux:ab₂[cow]N
c.4.13.a,A hymn to Nanna,,28,sux:Suen[1]DN
c.4.13.a,A hymn to Nanna,,29,sux-x-emesal:du₅-mu[child]N sux:nun[prince]N
