id_text,text_name,version,l_no,text
c.4.13.b,A fragment of a hymn to Nanna,,A1,
c.4.13.b,A fragment of a hymn to Nanna,,A2,sux:kug[shining]AJ
c.4.13.b,A fragment of a hymn to Nanna,,A3,sux:da[side]N sux:tur₃[animal-stall]N sux:gal[to-be-big]V
c.4.13.b,A fragment of a hymn to Nanna,,A4,sux:si[horn]N sux:sa₂[to-equal]V
c.4.13.b,A fragment of a hymn to Nanna,,A5,sux:ab₂[cow]N sux:lu[to-be-abundant]V sux:gud-ab₂-ba[breeding-bull]N
c.4.13.b,A fragment of a hymn to Nanna,,A6,sux:gu₃[voice]N sux:nun[prince]N sux:dug₄[to-say]V
c.4.13.b,A fragment of a hymn to Nanna,,A7,sux:i₃[fatty-substance]N sux:ga[milk]N sux:nunuz[egg]N sux:ak[to-do]V
c.4.13.b,A fragment of a hymn to Nanna,,A8,sux:giri₁₇-zal[joy]N sux:šar₂[to-be-numerous]V
c.4.13.b,A fragment of a hymn to Nanna,,A9,sux:nun[prince]N
c.4.13.b,A fragment of a hymn to Nanna,,A10,sux:Suen[1]DN sux:he₂-ŋal₂[plenty]N sux:an[heaven]N sux:ki[place]N
c.4.13.b,A fragment of a hymn to Nanna,,A11,sux:si[horn]N sux:sa₂[to-equal]V
c.4.13.b,A fragment of a hymn to Nanna,,A12,sux:lugal[king]N sux:an[heaven]N sux:kug[shining]AJ sux:tum₂[to-be-suitable]V
c.4.13.b,A fragment of a hymn to Nanna,,A13,sux:de₆[to-carry]V sux:an-šag₄[interior-of-heaven]N
c.4.13.b,A fragment of a hymn to Nanna,,B1,
c.4.13.b,A fragment of a hymn to Nanna,,B2,sux:ŋiš[tree]N
c.4.13.b,A fragment of a hymn to Nanna,,B3,
c.4.13.b,A fragment of a hymn to Nanna,,B4,sux:nam[destiny]N sux:šag₄[heart]N
c.4.13.b,A fragment of a hymn to Nanna,,B5,sux:saŋ-kal[foremost]AJ
c.4.13.b,A fragment of a hymn to Nanna,,B6,sux:an[heaven]N sux:ki[place]N
c.4.13.b,A fragment of a hymn to Nanna,,B7,sux:itid[moon(light)]N
c.4.13.b,A fragment of a hymn to Nanna,,B8,sux:še-er-zid[radiance]N
c.4.13.b,A fragment of a hymn to Nanna,,B9,sux:en[lord]N sux:me-te[(fitting)-attribute]N
c.4.13.b,A fragment of a hymn to Nanna,,B10,sux:Ningal[1]DN
c.4.13.b,A fragment of a hymn to Nanna,,B11,sux:en[lord]N sux:me-lem₄[(awesome)-radiance]N
