id_text,text_name,version,l_no,text
c.4.13.c,An excerpt from a hymn to Nanna,,1,diŋir[deity]N diŋir[deity]N
c.4.13.c,An excerpt from a hymn to Nanna,,2,un₃[to-be-high]V e₃[to-go-out-or-in]V me[essence]N an[heaven]N šu[hand]N du₇[to-be-perfect]V
c.4.13.c,An excerpt from a hymn to Nanna,,3,men[diadem]N rib[to-be-outstanding]V še-er-zid[radiance]N nun[prince]N an[heaven]N
c.4.13.c,An excerpt from a hymn to Nanna,,4,mi₂[(loving)-care]N zid[right]AJ dug₄[to-say]V An[1]DN Uraš[1]DN tud[to-give-birth]V Dur-an-ki[1]TN
c.4.13.c,An excerpt from a hymn to Nanna,,5,ud[day(light)]N še-er-zid[radiance]N men[diadem]N Urim[1]SN
c.4.13.c,An excerpt from a hymn to Nanna,,6,niŋ₂[thing]N dug₃[to-be-good]V niŋ₂[thing]N dug₃[to-be-good]V al[desire]N dug₄[to-say]V
c.4.13.c,An excerpt from a hymn to Nanna,,7,en[lord]N nam[destiny]N uru₂[town]N tar[to-cut]V Enlil[1]DN kuš₂[to-be-tired]V
c.4.13.c,An excerpt from a hymn to Nanna,,8,a-a[father]N uru₂[town]N ki[place]N gi₄[to-return]V
c.4.13.c,An excerpt from a hymn to Nanna,,9,dug₄[to-say]V zid[right]AJ a-a[father]N Nanna[1]DN šu[hand]N e₃[to-go-out-or-in]V
c.4.13.c,An excerpt from a hymn to Nanna,,10,nam₂[lord]N nun[prince]N nam₂[lord]N nun[prince]N nam-nun[princeliness]N gal[to-be-big]V diŋir[deity]N
c.4.13.c,An excerpt from a hymn to Nanna,,11,e₂[house(hold)]N an[heaven]N ni₂[fear(someness)]N su[flesh]N zig₃[to-rise]V ri[to-direct]V me-lem₄[(awesome)-radiance]N guru₃[to-bear]V
