etcsl_no,text_name,version,l_no,text
c.4.32.e,A šir-namšub to Utu (Utu E),,1,sux:ninda[bread]N sux-x-emesal:ze₂-eb[to-be-good]V sux:gu₇[to-eat]V sux:kaš[beer]N sux-x-emesal:ze₂-eb[to-be-good]V sux:naŋ[to-drink]V
c.4.32.e,A šir-namšub to Utu (Utu E),,2,sux:e₂[house(hold)]N sux-x-emesal:mu-lu[person]N sux:zid[right]AJ sux:kurun[type-of-beer]N sux:bur[type-of-bowl]N
c.4.32.e,A šir-namšub to Utu (Utu E),,3,sux-x-emesal:u₃-mu-un[lord]N sux:erim₃[storehouse]N sux:kur[(mountain)-land]N sux:gal[to-be-big]V sux-x-emesal:Enlil[1]DN
c.4.32.e,A šir-namšub to Utu (Utu E),,4,sux:nin[lady]N sux:erim₃[storehouse]N sux:ama[mother]N sux:gal[to-be-big]V sux:Ninlil[1]DN
c.4.32.e,A šir-namšub to Utu (Utu E),,5,sux:šul[young-man]N sux:Utu[1]DN sux-x-emesal:u₃-mu-un[lord]N sux:hur-saŋ[mountain-(range)]N
c.4.32.e,A šir-namšub to Utu (Utu E),,6,sux:Šerida[1]DN sux:en[lord]N sux:šul[young-man]N sux:me₃[battle]N
c.4.32.e,A šir-namšub to Utu (Utu E),,7,sux:Enki[1]DN sux:Ninki[1]DN sux:Enmul[1]DN sux:Ninmul[1]DN
c.4.32.e,A šir-namšub to Utu (Utu E),,8,sux:ki-ru-gu₂[composition-division]N sux:1-kam-ma[1st]NU
c.4.32.e,A šir-namšub to Utu (Utu E),,9,sux-x-emesal:mu-lu[person]N sux:zid[right]AJ sux:ninda[bread]N
c.4.32.e,A šir-namšub to Utu (Utu E),,10,sux:ud[day(light)]N sux:sud[to-be-distant]V sux:me[to-be]V sux:da-ri₂[eternal]AJ
c.4.32.e,A šir-namšub to Utu (Utu E),,11,sux:gub[to-stand]V sux-x-emesal:e-lum[bison]N sux-x-emesal:e-lum[bison]N sux-x-emesal:e-lum[bison]N sux:e-la-lu[type-of-exclamation]I
c.4.32.e,A šir-namšub to Utu (Utu E),,12,sux-x-emesal:mu-lu[person]N sux:zid[right]AJ sux:ninda[bread]N
c.4.32.e,A šir-namšub to Utu (Utu E),,13,sux-x-emesal:u₃-mu-un[lord]N sux:erim₃[storehouse]N sux:kur[(mountain)-land]N sux:gal[to-be-big]V sux-x-emesal:Enlil[1]DN
c.4.32.e,A šir-namšub to Utu (Utu E),,14,sux:nin[lady]N sux:erim₃[storehouse]N sux:ama[mother]N sux:gal[to-be-big]V sux:Ninlil[1]DN
c.4.32.e,A šir-namšub to Utu (Utu E),,15,sux:šul[young-man]N sux:Utu[1]DN sux-x-emesal:u₃-mu-un[lord]N sux:hur-saŋ[mountain-(range)]N
c.4.32.e,A šir-namšub to Utu (Utu E),,16,sux:Šerida[1]DN sux:en[lord]N sux:šul[young-man]N sux:me₃[battle]N
c.4.32.e,A šir-namšub to Utu (Utu E),,17,sux:ud[day(light)]N sux:sud[to-be-distant]V sux:me[to-be]V sux:da-ri₂[eternal]AJ
c.4.32.e,A šir-namšub to Utu (Utu E),,18,sux:gub[to-stand]V sux-x-emesal:e-lum[bison]N sux-x-emesal:e-lum[bison]N sux-x-emesal:e-lum[bison]N sux:e-la-lu[type-of-exclamation]I
c.4.32.e,A šir-namšub to Utu (Utu E),,19,sux-x-emesal:mu-lu[person]N sux:zid[right]AJ sux:zi[life-(breath)]N sux:su₃-ud-ŋal₂[long-lasting]AJ
c.4.32.e,A šir-namšub to Utu (Utu E),,20,sux:tuku[to-have]V sux:me[to-be]V sux:da-ri₂[eternal]AJ
c.4.32.e,A šir-namšub to Utu (Utu E),,21,sux-x-emesal:mu-lu[person]N sux:zid[right]AJ sux:zi[life-(breath)]N sux:su₃-ud-ŋal₂[long-lasting]AJ
c.4.32.e,A šir-namšub to Utu (Utu E),,22,sux:tuku[to-have]V sux:me[to-be]V sux:da-ri₂[eternal]AJ
c.4.32.e,A šir-namšub to Utu (Utu E),,23,sux:gub[to-stand]V sux-x-emesal:e-lum[bison]N sux-x-emesal:e-lum[bison]N sux-x-emesal:e-lum[bison]N sux:e-la-lu[type-of-exclamation]I
c.4.32.e,A šir-namšub to Utu (Utu E),,24,sux:ki-ru-gu₂[composition-division]N sux:2-kam-ma[2nd]NU
c.4.32.e,A šir-namšub to Utu (Utu E),,25,sux:a-u₃-a[soothing-expression]I sux:e₂[house(hold)]N sux:u₃-li-li[soothing-expression]I
