id_text,text_name,version,l_no,text
c.4.32.f,A šir-namšub to Utu (Utu F),,1,
c.4.32.f,A šir-namšub to Utu (Utu F),,2,sux:kur[(mountain)-land]N
c.4.32.f,A šir-namšub to Utu (Utu F),,3,sux:Utu[1]DN
c.4.32.f,A šir-namšub to Utu (Utu F),,4,sux:Utu[1]DN
c.4.32.f,A šir-namšub to Utu (Utu F),,13,
c.4.32.f,A šir-namšub to Utu (Utu F),,14,
c.4.32.f,A šir-namšub to Utu (Utu F),,15,
c.4.32.f,A šir-namšub to Utu (Utu F),,16,
c.4.32.f,A šir-namšub to Utu (Utu F),,17,
c.4.32.f,A šir-namšub to Utu (Utu F),,18,sux:šul[young-man]N sux:Utu[1]DN sux:amar[calf]N sux:sumun₂[wild-cow]N
c.4.32.f,A šir-namšub to Utu (Utu F),,19,sux:amar[calf]N sux:sumun₂[wild-cow]N sux:amar[calf]N sux:dumu[child]N sux:zid[right]AJ
c.4.32.f,A šir-namšub to Utu (Utu F),,20,sux:Utu[1]DN sux:šeš[brother]N sux:lugal[king]N sux:Inana[1]DN
c.4.32.f,A šir-namšub to Utu (Utu F),,21,sux:en[lord]N sux:de₆[to-carry]V sux:sila[street]N sux:e-sir₂[street]N
c.4.32.f,A šir-namšub to Utu (Utu F),,22,sux:Utu[1]DN sux:kaš[beer]N sux:ŋal₂[to-be-(located)]V sux:e₂[house(hold)]N sux:kurun[type-of-beer]N
c.4.32.f,A šir-namšub to Utu (Utu F),,23,sux:šul[young-man]N sux:Utu[1]DN sux:kaš[beer]N sux:ŋal₂[to-be-(located)]V sux:e₂[house(hold)]N sux:kurun[type-of-beer]N
c.4.32.f,A šir-namšub to Utu (Utu F),,24,sux:šeš[brother]N sux-x-emesal:u₃-mu-un[lord]N sux:ni₂[fear(someness)]N sux:guru₃[to-bear]V sux:kur[(mountain)-land]N sux:u₅[to-ride]V
c.4.32.f,A šir-namšub to Utu (Utu F),,25,sux-x-emesal:u₃-mu-un[lord]N sux:an[heaven]N sux-x-emesal:u₃-mu-un[lord]N sux:ni₂[fear(someness)]N sux:guru₃[to-bear]V sux-x-emesal:u₃-mu-un[lord]N sux:kur[(mountain)-land]N sux:u₅[to-ride]V
c.4.32.f,A šir-namšub to Utu (Utu F),,26,sux:kur[(mountain)-land]N sux:šim[aromatic-(fragrance)]N sux:kur[(mountain)-land]N sux:erin[cedar]N sux:kur[(mountain)-land]N
c.4.32.f,A šir-namšub to Utu (Utu F),,27,sux:kur[(mountain)-land]N sux:erin[cedar]N sux:kur[(mountain)-land]N sux:ha-šu-ur₂[type-of-cypress]N sux:kur[(mountain)-land]N
c.4.32.f,A šir-namšub to Utu (Utu F),,28,sux:kur[(mountain)-land]N sux:kug[precious-metal]N sux:kur[(mountain)-land]N sux:za-gin₃[lapis-lazuli]N sux:kur[(mountain)-land]N
c.4.32.f,A šir-namšub to Utu (Utu F),,29,sux:kur[(mountain)-land]N sux:gakkul[(plant)-heart]N sux:mu₂[to-grow]V sux:kur[(mountain)-land]N
c.4.32.f,A šir-namšub to Utu (Utu F),,30,sux:id₂[watercourse]N sux:hal-hal[to-roll]V sux:a-ki-ta[source]N sux:sud[to-be-distant]V sux:kur[(mountain)-land]N
c.4.32.f,A šir-namšub to Utu (Utu F),,31,sux:šeš[brother]N sux:ŋen[to-go]V
c.4.32.f,A šir-namšub to Utu (Utu F),,32,sux:šeš[brother]N sux:ab-šag₄[centre-of-sea]N sux:igi[eye]N
c.4.32.f,A šir-namšub to Utu (Utu F),,33,sux:šeš[brother]N sux:munus[woman]N
c.4.32.f,A šir-namšub to Utu (Utu F),,34,sux:Utu[1]DN sux:munus[woman]N
c.4.32.f,A šir-namšub to Utu (Utu F),,35,sux-x-emesal:aŋ₂[thing]N sux:munus[woman]N sux-x-emesal:mu[penis]N sux:zu[to-know]V
c.4.32.f,A šir-namšub to Utu (Utu F),,36,sux-x-emesal:aŋ₂[thing]N sux:munus[woman]N sux-x-emesal:mu[penis]N sux:dug₄[to-say]V sux:zu[to-know]V
c.4.32.f,A šir-namšub to Utu (Utu F),,37,sux-x-emesal:aŋ₂[thing]N sux:munus[woman]N sux-x-emesal:še[noun-part-of-multiword-verb]N sux:su-ub[to-rub]V sux:zu[to-know]V
c.4.32.f,A šir-namšub to Utu (Utu F),,38,sux-x-emesal:mu[penis]N sux:dug₄[to-say]V sux:zu[to-know]V sux-x-emesal:še[noun-part-of-multiword-verb]N sux:su-ub[to-rub]V sux:zu[to-know]V
c.4.32.f,A šir-namšub to Utu (Utu F),,39,sux:kur[(mountain)-land]N sux:a-na[what]PD sux-x-emesal:ma-al[to-be-(located)]V sux:a-na[what]PD sux:gu₇[to-eat]V
c.4.32.f,A šir-namšub to Utu (Utu F),,40,sux:hur-saŋ[mountain-(range)]N sux:a-na[what]PD sux-x-emesal:ma-al[to-be-(located)]V sux:a-na[what]PD sux:gu₇[to-eat]V
c.4.32.f,A šir-namšub to Utu (Utu F),,41,sux:kur[(mountain)-land]N sux:šim[aromatic-(fragrance)]N sux:kur[(mountain)-land]N sux:erin[cedar]N
c.4.32.f,A šir-namšub to Utu (Utu F),,42,sux:kur[(mountain)-land]N sux:erin[cedar]N sux:kur[(mountain)-land]N sux:ha-šu-ur₂[type-of-cypress]N
c.4.32.f,A šir-namšub to Utu (Utu F),,43,sux:kur[(mountain)-land]N sux:a-na[what]PD sux-x-emesal:ma-al[to-be-(located)]V sux:a-na[what]PD sux:gu₇[to-eat]V
c.4.32.f,A šir-namšub to Utu (Utu F),,44,sux:šim[aromatic-(fragrance)]N sux:gu₇[to-eat]V sux:erin[cedar]N sux:gu₇[to-eat]V
c.4.32.f,A šir-namšub to Utu (Utu F),,45,sux:šu[hand]N sux:šu[hand]N sux:du₃[to-erect]V sux:e₂[house(hold)]N sux:gi₄[to-return]V
c.4.32.f,A šir-namšub to Utu (Utu F),,46,sux:e₂[house(hold)]N sux:gi₄[to-return]V sux:e₂[house(hold)]N sux:Zabalam[1]SN
c.4.32.f,A šir-namšub to Utu (Utu F),,47,sux:ama[mother]N sux:gi₄[to-return]V sux:ama[mother]N sux-x-emesal:Ningal[1]DN
c.4.32.f,A šir-namšub to Utu (Utu F),,48,sux:ušbar[relative-by-marriage]N sux:gi₄[to-return]V sux-x-emesal:Ninsumun[1]DN
c.4.32.f,A šir-namšub to Utu (Utu F),,49,sux:e-ri-ib[sister-in-law]N sux:gi₄[to-return]V sux-x-emesal:Ŋeštin-ana[1]DN
c.4.32.f,A šir-namšub to Utu (Utu F),,50,sux:šu[hand]N sux:dili[single]AJ sux:e₃[to-go-out-or-in]V sux:e₂[house(hold)]N sux:lu₂[person]N sux:e₃[to-go-out-or-in]V
c.4.32.f,A šir-namšub to Utu (Utu F),,51,sux:e₂[house(hold)]N sux:lu₂[person]N sux:e₃[to-go-out-or-in]V sux:šu[hand]N sux:dili[single]AJ sux:e₃[to-go-out-or-in]V
c.4.32.f,A šir-namšub to Utu (Utu F),,52,sux:Utu[1]DN sux:ama[mother]N sux:Utu[1]DN sux:a-a[father]N
c.4.32.f,A šir-namšub to Utu (Utu F),,53,sux:Utu[1]DN sux:nu-siki[orphan]N sux:Utu[1]DN sux:nu-mu-un-su[widow]N
c.4.32.f,A šir-namšub to Utu (Utu F),,54,sux:Utu[1]DN sux:nu-siki[orphan]N sux:a-a[father]N sux:igi[eye]N sux:pad₃[to-find]V
c.4.32.f,A šir-namšub to Utu (Utu F),,55,sux:Utu[1]DN sux:nu-mu-un-su[widow]N sux:ama[mother]N sux:šu[hand]N sux:gi₄[to-return]V
c.4.32.f,A šir-namšub to Utu (Utu F),,56,sux:a-lu[meaning-unknown]N sux:za[you-(sg.)]PD sux:a-lu[meaning-unknown]N
c.4.32.f,A šir-namšub to Utu (Utu F),,x,
