Volume,Chapter,Vol_Chap,Section,Designation,Ancient_Author,Descriptive_Title,Text
01,01,01.01,Royal Letters,SAA 01 001,Sargon to Aššur-šarru-uṣur,Midas Of Phrygia Seeks Detente (NL 039; ND 2759; SAA 19 152),awātu[word]N šarru[king]N ana[to]PRP Aššur-šarru-uṣur[1]PN šulmu[completeness]N yâšim[to-me]IP šulmu[completeness]N ana[to]PRP libbu[interior]N lū[may]MOD ṭābu[good]AJ ša[that]REL šapāru[send]V mā[saying]PRP māru[son]N šipru[sending]N ša[of]DET Mita[Midas]PN Muskaya[Phrygian]EN ina[in]PRP muhhu[skull]N alāku[go]V mā[saying]PRP ṣābu[people]N Quwaya[from-Quwe]EN ša[that]REL Urik[1]PN ana[to]PRP šapru[envoy]N ana[to]PRP Urarṭu[1]GN wabālu[bring]V mā[saying]PRP ina[in]PRP muhhu[skull]N našû[lifted]AJ tarṣu[correct]AJ adanniš[very-much]AV annûri[now]AV Aššur[1]DN Šamaš[1]DN Bel[1]DN Nabu[1]DN ilu[god]N epēšu[do]V lā[not]MOD ina[in]PRP libbu[interior]N qarābu[battle]N lā[not]MOD ina[in]PRP libbu[interior]N memēni[somebody]XP Muskaya[Phrygian]EN pû[mouth]N tadānu[give]V ana[to]PRP salmu[peaceful]AJ târu[turn]V ša[that]REL šapāru[send]V mā[saying]PRP balāt[without]PRP šarru[king]N bēlu[lord]N māru[son]N šipru[sending]N ina[in]PRP muhhu[skull]N Muskaya[Phrygian]EN lā[not]MOD šapāru[send]V ūma[today]AV annûri[now]AV šapāru[send]V māru[son]N šipru[sending]N v[ištu]from pānu[front]N Muskaya[Phrygian]EN lū[may]MOD lā[not]MOD batāqu[cut-off]V dibbu[words]N ṭābu[good]AJ šapāru[send]V kayyamānu[permanent]AJ mīnu[what?]QP ša[that]REL ṭēmu[(fore)thought]N šemû[hear]V adi[until]PRP bītu[house]N riāqu[be(come)-empty]V ša[that]REL šapāru[send]V mā[saying]PRP kī[like]PRP ša[that]REL šū[he]IP ardu[slave]N ša[of]DET šarru[king]N bēlu[lord]N wabālu[bring]V mā[saying]PRP anāku[I]IP ardu[slave]N wabālu[bring]V wabālu[bring]V basi[soon]AV libbu[interior]N išti[with]PRP pašāru[release]V lū[may]MOD meʾatu[(one)-hundred]NU ardu[slave]N lū[may]MOD kī[like]PRP annû[this]DP šapāru[send]V mā[saying]PRP ṣābu[people]N Quwaya[from-Quwe]EN ša[that]REL wabālu[bring]V mā[saying]PRP ina[in]PRP muhhu[skull]N šarru[king]N bēlu[lord]N šapāru[send]V mā[saying]PRP šarru[king]N bēlu[lord]N hadû[be(come)-joyful]V adanniš[very-much]AV mā[saying]PRP sahāru[go-around]V ina[in]PRP muhhu[skull]N šapāru[send]V mā[saying]PRP Muskaya[Phrygian]EN ammar[as-much-as]REL ina[in]PRP pānu[front]N ištēn[one]NU lā[not]MOD kalû[hold-(back)]V mā[saying]PRP arhiš[quickly]AV ana[to]PRP Mita[Midas]PN wabālu[bring]V mā[saying]PRP ṣābu[people]N annû[this]DP ina[in]PRP muhhu[skull]N pû[mouth]N ša[of]DET šarru[king]N bēlu[lord]N wabālu[bring]V ša[that]REL šapāru[send]V mā[saying]PRP māru[son]N šipru[sending]N ša[of]DET Urpalaʾa[1]PN v[išti]with māru[son]N šipru[sending]N Muskaya[Phrygian]EN ana[to]PRP šulmu[completeness]N ina[in]PRP muhhu[skull]N alāku[go]V alāku[go]V Aššur[1]DN Šamaš[1]DN Bel[1]DN u[and]CNJ Nabu[1]DN qabû[say]V šarru[king]N annû[this]DP gabbu[totality]N v[išti]with ziqnu[beard]N mešēnu[sandal]N šakkulu[wipe]V ša[that]REL šapāru[send]V mā[saying]PRP Kilar[1]PN nagû[region]N erēšu[request]V mā[saying]PRP tadānu[give]V kīma[like]PRP nagû[region]N annû[this]DP ana[to]PRP Kilar[1]PN tadānu[give]V lā[not]MOD ana[to]PRP mehru[colleague]N târu[turn]V atta[you]IP ina[in]PRP muhhu[skull]N mīnu[what?]QP pīhātūtu[provincial-governorship]N epēšu[do]V kī[like]PRP annû[this]DP qabû[say]V mā[saying]PRP ina[in]PRP timāli[yesterday]AV šalšūmi[the-day-before-yesterday]AV v[ištu]from pānu[front]N Muskaya[Phrygian]EN palhu[fearful]AJ mā[saying]PRP ūma[today]AV Muskaya[Phrygian]EN išti[with]PRP salāmu[be(come)-at-peace]V mā[saying]PRP atta[you]IP v[ištu]from pānu[front]N mīnu[what?]QP palhu[fearful]AJ mā[saying]PRP ūma[today]AV ṣillu[shade]N šarru[king]N bēlu[lord]N kusāpu[bread]N akālu[eat]V mû[water]N šatû[drink]V mā[saying]PRP libbu[interior]N lū[may]MOD ṭābu[good]AJ mā[saying]PRP niqittu[anxiety]N v[ištu]from pānu[front]N Muskaya[Phrygian]EN lū[may]MOD laššu[(there)-is-not]V ša[that]REL šapāru[send]V mā[saying]PRP Urpalaʾa[1]PN ina[in]PRP muhhu[skull]N ša[that]REL Atunnaya[1]EN Istuandaya[1]EN alāku[go]V ālu[city]N ša[of]DET Bit-Purutaš[1]GN puāgu[take-away-forcibly-from]V v[ištu]from muhhu[skull]N šarru[king]N bēlu[lord]N annûri[now]AV Muskaya[Phrygian]EN išti[with]PRP salāmu[be(come)-at-peace]V kaʾādu[(meaning-unknown)]V šarru[king]N ša[of]DET Tabalu[Tabal]GN gabbu[totality]N mīnu[what?]QP hurri[ever-(after)]AV epēšu[do]V atta[you]IP v[ištu]from annaka[here]AV Muskaya[Phrygian]EN v[ištu]from ammaka[there]AV mazāʾu[press]V basi[soon]AV atta[you]IP ebīhu[(a-rope-or-girdle)]N ina[in]PRP libbu[interior]N rakāsu[bind]V annûri[now]AV Aššur[1]DN Šamaš[1]DN Bel[1]DN u[and]CNJ Nabu[1]DN ilu[god]N epēšu[do]V mātu[land]N annû[this]DP ina[in]PRP šaplu[underside]N šēpu[foot]N kabāsu[tread]V kī[like]PRP libbu[interior]N dâlu[move]V mīnu[what?]QP ša[that]REL dullu[trouble]N epēšu[do]V arku[long]AJ batāqu[cut-off]V kurû[short]AJ arāku[be(come)-long]V adi[until]PRP bītu[house]N anāku[I]IP alāku[go]V dullu[trouble]N tadānu[give]V ina[in]PRP muhhu[skull]N Balassu[1]PN ša[that]REL šapāru[send]V dibbu[words]N gabbu[totality]N šemû[hear]V ūmu[day]N ša[that]REL egertu[inscribed-tablet]N annû[this]DP amāru[see]V māru[son]N kūm[instead-of]PRP ina[in]PRP muhhu[skull]N ṣābu[people]N paqādu[entrust]V nišu[people]N lū[may]MOD kunnušu[assembled]AJ lū[may]MOD kamsu[squatting]AJ šumma[if]MOD libbu[interior]N šadû[mountain]N nabalkutu[cross-over]V ašābu[sit-(down)]V ūla[or]AV annaka[here]AV lū[may]MOD kamsu[squatting]AJ ana[to]PRP šâšu[him]IP tašlīšu[third-man-on-chariot]N ištēn[one]NU ana[to]PRP kallû[express-messenger]N matāhu[lift]V alāku[go]V dibbu[words]N ṭābu[good]AJ išti[with]PRP dabābu[speak]V libbu[interior]N šakānu[put]V basi[soon]AV šapāru[send]V nišu[people]N ša[that]REL annaka[here]AV sahāru[go-around]V alāku[go]V ina[in]PRP bītu[house]N erēbu[enter]V Aplaya[1]PN šūtu[he]IP adi[until]PRP nišu[people]N māru[son]N šipru[sending]N adi[until]PRP muhhu[skull]N wabālu[bring]V lū[may]MOD māru[son]N Babili[Babylon]GN lū[may]MOD māru[son]N Barsip[Borsippa]GN lū[may]MOD Kišaya[from-Kiš]EN lū[may]MOD Nippuraya[Nippurean]EN lū[may]MOD Urukaya[Urukean]EN lū[may]MOD Deraya[from-Der]EN lū[may]MOD
01,01,01.01,Royal Letters,SAA 01 002,Sargon,Dealings with Arpad (CT 53 502),ša[that]REL šapāru[send]V mā[saying]PRP rabû[big-one]N mūgu[contingent]N šapāru[send]V mā[saying]PRP v[išti]with Arpaddaya[from-Arpad]EN dibbu[words]N ṭābu[good]AJ dabābu[speak]V mā[saying]PRP tašlīšu[third-man-on-chariot]N ina[in]PRP libbu[interior]N Aššur[1]DN ilu[god]N tamû[swear]V šumma[if]MOD rabû[big-one]N mūgu[contingent]N šapāru[send]V
01,01,01.01,Royal Letters,SAA 01 003,Sargon,The Wife of the Treasurer (CT 53 463),mā[saying]PRP sinništu[woman]N ša[of]DET mašennu[(an-administrator)]N adi[until]PRP mārtu[daughter]N ina[in]PRP lū[may]MOD alāku[go]V atta[you]IP unqu[ring]N šarru[king]N šaṭāru[write]V ina[in]PRP muhhu[skull]N Bel-duri[1]PN wabālu[bring]V māru[son]N šipru[sending]N ina[in]PRP Dimašqa[Damascus]GN šapāru[send]V sinništu[woman]N udī-[alone]AV tadānu[give]V ina[in]PRP muhhu[skull]N mārtu[daughter]N ša[that]REL kalû[hold-(back)]V šapāru[send]V
01,01,01.01,Royal Letters,SAA 01 004,Sargon,On Shirking the King’s Work (CT 53 834),izuzzu[stand]V annûri[now]AV dullu[trouble]N ša[that]REL ina[in]PRP muhhu[skull]N adi[until]PRP pilku[demarcated-zone]N ša[that]REL epēšu[do]V pilku[demarcated-zone]N v[išti]with šupêlu[exchange]V dullu[trouble]N lā[not]MOD epēšu[do]V šapāru[send]V mā[saying]PRP ina[in]PRP muhhu[skull]N meʾatu[(one)-hundred]NU gušūru[tree-trunk]N ina[in]PRP muhhu[skull]N ša[of]DET ina[in]PRP muhhu[skull]N nāru[river]N karru[put-down]AJ ina[in]PRP muhhu[skull]N annû[this]DP pīhātu[responsibility]N ša[of]DET Til-Barsip[1]GN epēšu[do]V nuk[saying]PRP annû[this]DP alāku[go]V ina[in]PRP muhhu[skull]N Aššur-šarru-uṣur[1]PN adi[until]PRP māru[son]N šipru[sending]N ša[that]REL išti[with]PRP ana[to]PRP ša[of]DET lā[not]MOD ṭābu[good]AJ dullu[trouble]N lā[not]MOD epēšu[do]V battubattu[all-round]PRP nabalkutu[cross-over]V ūma[today]AV annûri[now]AV šapāru[send]V ša[that]REL išti[with]PRP laššu[(there)-is-not]V lā[not]MOD nišu[people]N lā[not]MOD kīnu[permanent]AJ šunu[they]IP pīhātu[responsibility]N
01,01,01.01,Royal Letters,SAA 01 005,Sargon to Ašipa,These Nabateans are Yours (ABL 0305),awātu[word]N šarru[king]N ana[to]PRP Ašipa[1]PN ina[in]PRP muhhu[skull]N Nabataya[1]EN annû[this]DP ša[that]REL šapāru[send]V ina[in]PRP pānu[front]N šunu[they]IP
01,01,01.01,Royal Letters,SAA 01 006,Sargon to Ašipa,(no title) (ABL 0298),awātu[word]N šarru[king]N ana[to]PRP Ašipa[1]PN šulmu[completeness]N yâšim[to-me]IP libbu[interior]N lū[may]MOD ṭābu[good]AJ ūmu[day]N ša[that]REL egertu[inscribed-tablet]N annû[this]DP amāru[see]V Nabu-šezibanni[1]PN lawû[surround]V
01,01,01.01,Royal Letters,SAA 01 007,Sargon,The Gods of Muṣaṣir (CT 53 340),ṣabātu[seize]V u[and]CNJ šumma[if]MOD qabû[say]V mā[saying]PRP šarru[king]N bēlu[lord]N ilu[god]N sahāru[go-around]V tadānu[give]V arhiš[quickly]AV batiqtu[denunciation]N harāṣu[break-off]V šapāru[send]V basi[soon]AV ilu[god]N sahāru[go-around]V tadānu[give]V Muṣaṣir[1]GN ina[in]PRP libbu[interior]N ašābu[sit-(down)]V ṣabātu[seize]V ša[of]DET ilu[god]N annû[this]DP ša[that]REL atā[why?]QP lā[not]MOD
01,01,01.01,Royal Letters,SAA 01 008,Sargon,Urarṭian Governor Defects to Assyria (CT 53 229),kī[like]PRP ša[that]REL šapāru[send]V mā[saying]PRP ša[that]REL šapāru[send]V mā[saying]PRP ina[in]PRP ša-šēpi[(kingʾs)-personal-guard]N ana[to]PRP mīnu[what?]QP ahu[arm]N ina[in]PRP libbu[interior]N Manna[Mannea]GN wabālu[bring]V ṭābtu[goodness]N annû[this]DP ša[that]REL qabû[say]V mā[saying]PRP anāku[I]IP ša[of]DET Manna[Mannea]GN bašû[exist]V ardu[slave]N ša[that]REL lā[not]MOD ina[in]PRP muhhu[skull]N ina[in]PRP muhhu[skull]N pīhātu[responsibility]N annû[this]DP ša[that]REL šapāru[send]V mā[saying]PRP pīhātu[responsibility]N šū[he]IP mā[saying]PRP kī[like]PRP šemû[hear]V mā[saying]PRP rīqu[empty]AJ mā[saying]PRP halāqu[be(come)-lost]V mā[saying]PRP alāku[go]V šēpu[foot]N ša[of]DET šarru[king]N ṣabātu[seize]V ina[in]PRP annû[this]DP ana[to]PRP turtānūtu[position-of-commander-in-chief]N šakānu[put]V ša[of]DET ūmu[day]N ina[in]PRP bītu[house]N sinništu[woman]N lā[not]MOD mâtu[die]V ša[that]REL bārtu[rebellion]N ina[in]PRP muhhu[skull]N epēšu[do]V lā[not]MOD šalāmu[be(come)-healthy]V māru[son]N Inurta-belu-uṣur[1]PN ina[in]PRP kussû[chair]N ina[in]PRP kūm[instead-of]PRP ašābu[sit-(down)]V târu[turn]V tūra[again]AV anāku[I]IP ana[to]PRP annû[this]DP ašābu[sit-(down)]V ša[that]REL šapāru[send]V mā[saying]PRP qabû[say]V šâlu[ask]V mā[saying]PRP hīṭu[error]N kinattu[employee]N šapāru[send]V mā[saying]PRP lā[not]MOD mā[saying]PRP palāhu[fear]V lā[not]MOD dabābu[speak]V halāqu[be(come)-lost]V ša[that]REL šapāru[send]V mā[saying]PRP ina[in]PRP muhhu[skull]N ša[that]REL qabû[say]V sahāru[go-around]V tadānu[give]V mā[saying]PRP v[išti]with kī[like]PRP annû[this]DP šū[he]IP qabû[say]V kī[like]PRP annû[this]DP halāqu[be(come)-lost]V mā[saying]PRP ina[in]PRP adû[(treaty-)oath]N v[ištu]from pānu[front]N
01,01,01.01,Royal Letters,SAA 01 009,Sargon,Ullusunu on His Guard (CT 53 589),Arpadda[Arpad]GN ūma[today]AV Ullusunu[1]PN ana[to]PRP maṣṣartu[observation]N ša[of]DET ramānu[self]N u[and]CNJ egertu[inscribed-tablet]N ša[that]REL šapāru[send]V ina[in]PRP libbu[interior]N muk[saying]PRP Ullusunu[1]PN
01,01,01.01,Royal Letters,SAA 01 010,Sargon  to Nabu-duru-uṣur,Urarṭian Emissaries Meet Captives (ABL 0306+),awātu[word]N šarru[king]N ana[to]PRP Nabu-duru-uṣur[1]PN annûri[now]AV Mannu-ki-Aššur[1]PN ša-qurbūti[close-follower]N ina[in]PRP muhhu[skull]N ṣīru[envoy]N ammiu[that]DP Urarṭaya[Urarṭian]EN šapāru[send]V ina[in]PRP pānātu[front]N hubtu[robbery]N annû[this]DP ša[that]REL ina[in]PRP pānu[front]N kusāpu[bread]N akālu[eat]V ana[to]PRP Arzuhina[1]GN wabālu[bring]V atta[you]IP ūmu[day]N ša[that]REL egertu[inscribed-tablet]N annû[this]DP amāru[see]V rēšu[head]N hubtu[robbery]N annû[this]DP našû[lift]V lū[may]MOD etku[alert]AJ izuzzu[stand]V ina[in]PRP libbu[interior]N ūmu[day]N ša[that]REL Mannu-ki-Aššur[1]PN ša-qurbūti[close-follower]N šapāru[send]V mā[saying]PRP annûri[now]AV ṣīru[envoy]N ana[to]PRP Arzuhina[1]GN qerēbu[approach]V mā[saying]PRP hubtu[robbery]N namāšu[set-(o.s.)-in-motion]V hubtu[robbery]N pahāru[gather]V ana[to]PRP Arzuhina[1]GN alāku[go]V ana[to]PRP ša-muhhi-āli[town-overseer]N ša[of]DET Arzuhina[1]GN paqādu[entrust]V Aššur-balti-niše[1]PN šapāru[send]V muk[saying]PRP alāku[go]V adi[until]PRP pānu[front]N išti[with]PRP kittu[truth]N sinništu[woman]N Urarṭaya[Urarṭian]EN ša[that]REL v[išti]with hubtu[robbery]N annû[this]DP ina[in]PRP Arrapha[1]GN ina[in]PRP pānu[front]N v[išti]with hubtu[robbery]N lū[may]MOD lā[not]MOD alāku[go]V u[and]CNJ annûri[now]AV sinništu[woman]N ša[that]REL buʾʾû[look-for]V aṣû[go-out]V ina[in]PRP wabālu[bring]V v[išti]with sinništu[woman]N annû[this]DP ina[in]PRP Arrapha[1]GN lū[may]MOD kamsu[squatting]AJ kusāpu[bread]N akālu[eat]V mû[water]N šatû[drink]V adi[until]PRP bītu[house]N anāku[I]IP alāku[go]V mugerru[chariot]N ša[of]DET ēkallu[palace]N ša[that]REL sinništu[woman]N annû[this]DP wabālu[bring]V kusāpu[bread]N ana[to]PRP nišu[people]N kissatu[fodder]N ana[to]PRP urû[team]N tadānu[give]V
